purpose,h,arrival,departure
edu_secondary,20,1.556420233463035E-5,7.782101167315174E-6
home,0,1.0116731517509727E-4,1.0116731517509727E-4
home,1,7.782101167315176E-5,8.560311284046692E-5
home,2,5.447470817120623E-5,5.447470817120623E-5
home,3,3.891050583657588E-5,9.33852140077821E-5
home,4,8.560311284046692E-5,8.560311284046692E-5
home,5,3.501945525291829E-4,4.8249027237354085E-4
home,6,0.001019455252918288,0.001206225680933852
home,7,0.002568093385214008,0.0028638132295719845
home,8,0.007408560311284047,0.00864591439688716
home,9,0.0108715953307393,0.011696498054474707
home,10,0.014832684824902723,0.016186770428015564
home,11,0.017813229571984435,0.01962645914396887
home,12,0.019369649805447472,0.020817120622568092
home,13,0.0243579766536965,0.027066147859922177
home,14,0.03357198443579767,0.039175097276264594
home,15,0.04912062256809339,0.05363424124513619
home,16,0.05016342412451362,0.050054474708171204
home,17,0.04814785992217899,0.04597665369649805
home,18,0.04014785992217899,0.03419455252918288
home,19,0.029315175097276266,0.026669260700389105
home,20,0.020972762645914397,0.01706614785992218
home,21,0.012459143968871595,0.010147859922178988
home,22,0.0065447470817120625,0.004591439688715953
home,23,0.0018910505836575876,0.0011517509727626458
home,24,0.0012607003891050583,9.33852140077821E-4
home,25,1.6342412451361867E-4,1.0894941634241245E-4
home,26,0.0,7.782101167315174E-6
home,30,7.782101167315174E-6,0.0
home,31,7.782101167315174E-6,7.782101167315174E-6
home,33,7.782101167315174E-6,0.0
leisure,0,0.0,7.782101167315174E-6
leisure,1,2.3346303501945526E-5,1.556420233463035E-5
leisure,2,7.782101167315174E-6,7.782101167315174E-6
leisure,4,0.0,2.3346303501945526E-5
leisure,5,6.22568093385214E-5,7.003891050583658E-5
leisure,6,2.7237354085603115E-4,4.4357976653696497E-4
leisure,7,4.280155642023346E-4,6.692607003891051E-4
leisure,8,0.0015564202334630351,0.003058365758754864
leisure,9,0.004910505836575875,0.004669260700389105
leisure,10,0.005089494163424125,0.0048638132295719845
leisure,11,0.003828793774319066,0.0037665369649805447
leisure,12,0.004272373540856031,0.004381322957198444
leisure,13,0.004949416342412452,0.00533852140077821
leisure,14,0.0068638132295719845,0.007424124513618677
leisure,15,0.01066147859922179,0.011961089494163425
leisure,16,0.012163424124513619,0.012023346303501945
leisure,17,0.012770428015564203,0.012809338521400778
leisure,18,0.011198443579766537,0.009922178988326848
leisure,19,0.0070817120622568095,0.005525291828793774
leisure,20,0.0021556420233463033,0.0016031128404669262
leisure,21,8.171206225680934E-4,6.303501945525292E-4
leisure,22,2.490272373540856E-4,2.256809338521401E-4
leisure,23,1.1673151750972762E-4,4.669260700389105E-5
leisure,24,7.003891050583658E-5,6.22568093385214E-5
other,6,1.4785992217898833E-4,2.1011673151750973E-4
other,7,3.190661478599222E-4,4.902723735408561E-4
other,8,6.381322957198444E-4,8.326848249027237E-4
other,9,9.494163424124514E-4,0.0011361867704280156
other,10,0.001198443579766537,0.0010116731517509727
other,11,9.33852140077821E-4,0.0010272373540856031
other,12,8.793774319066148E-4,8.871595330739299E-4
other,13,0.0011750972762645914,9.961089494163423E-4
other,14,7.859922178988327E-4,9.416342412451362E-4
other,15,0.001066147859922179,9.494163424124514E-4
other,16,9.649805447470817E-4,9.649805447470817E-4
other,17,7.859922178988327E-4,6.459143968871596E-4
other,18,4.5914396887159533E-4,3.813229571984436E-4
other,19,4.124513618677043E-4,3.190661478599222E-4
other,20,6.22568093385214E-5,5.447470817120623E-5
other,21,5.447470817120623E-5,5.447470817120623E-5
other,22,4.669260700389105E-5,7.782101167315174E-6
other,25,1.556420233463035E-5,0.0
other,34,7.782101167315174E-6,0.0
other,35,7.782101167315174E-6,0.0
outside_recreation,0,0.0,1.556420233463035E-5
outside_recreation,1,6.22568093385214E-5,4.669260700389105E-5
outside_recreation,2,1.556420233463035E-5,1.556420233463035E-5
outside_recreation,4,2.3346303501945526E-5,7.003891050583658E-5
outside_recreation,5,2.7237354085603115E-4,2.7237354085603115E-4
outside_recreation,6,6.303501945525292E-4,8.482490272373541E-4
outside_recreation,7,0.00111284046692607,0.0011828793774319067
outside_recreation,8,0.0014552529182879376,0.0015875486381322957
outside_recreation,9,0.001859922178988327,0.0022334630350194554
outside_recreation,10,0.0022101167315175096,0.0020544747081712063
outside_recreation,11,0.002031128404669261,0.0021634241245136188
outside_recreation,12,0.0031284046692607002,0.0029182879377431907
outside_recreation,13,0.002568093385214008,0.0026147859922178987
outside_recreation,14,0.002793774319066148,0.0029027237354085603
outside_recreation,15,0.0034319066147859923,0.0036809338521400776
outside_recreation,16,0.0038443579766536964,0.003595330739299611
outside_recreation,17,0.0028638132295719845,0.0026770428015564203
outside_recreation,18,0.0027003891050583657,0.0023891050583657587
outside_recreation,19,0.0015019455252918289,0.001470817120622568
outside_recreation,20,0.001424124513618677,0.0012762645914396887
outside_recreation,21,9.805447470817121E-4,9.571984435797665E-4
outside_recreation,22,4.046692607003891E-4,3.735408560311284E-4
outside_recreation,23,8.560311284046692E-5,5.447470817120623E-5
outside_recreation,24,2.3346303501945526E-5,2.3346303501945526E-5
personal_business,5,0.0,7.782101167315174E-6
personal_business,6,7.003891050583658E-5,2.0233463035019454E-4
personal_business,7,6.22568093385214E-4,0.001735408560311284
personal_business,8,0.004754863813229572,0.005463035019455253
personal_business,9,0.007486381322957199,0.007571984435797666
personal_business,10,0.007525291828793774,0.007470817120622568
personal_business,11,0.006124513618677043,0.005478599221789883
personal_business,12,0.004785992217898833,0.00443579766536965
personal_business,13,0.0042256809338521405,0.004521400778210117
personal_business,14,0.004817120622568094,0.005003891050583658
personal_business,15,0.005455252918287938,0.00557976653696498
personal_business,16,0.005190661478599222,0.00488715953307393
personal_business,17,0.0032295719844357977,0.002357976653696498
personal_business,18,0.0010972762645914396,7.937743190661479E-4
personal_business,19,3.735408560311284E-4,2.9571984435797666E-4
personal_business,20,1.4007782101167315E-4,1.3229571984435797E-4
personal_business,21,1.0894941634241245E-4,9.33852140077821E-5
personal_business,22,3.11284046692607E-5,7.782101167315174E-6
personal_business,23,1.556420233463035E-5,1.556420233463035E-5
shop_daily,1,1.556420233463035E-5,1.556420233463035E-5
shop_daily,5,2.3346303501945526E-5,2.3346303501945526E-5
shop_daily,6,2.3346303501945524E-4,3.035019455252918E-4
shop_daily,7,9.883268482490273E-4,0.0013696498054474708
shop_daily,8,0.004505836575875486,0.004894941634241245
shop_daily,9,0.007089494163424125,0.007782101167315175
shop_daily,10,0.008544747081712063,0.008303501945525291
shop_daily,11,0.006809338521400778,0.006840466926070039
shop_daily,12,0.006311284046692607,0.006101167315175097
shop_daily,13,0.006287937743190661,0.006357976653696498
shop_daily,14,0.005750972762645914,0.005961089494163424
shop_daily,15,0.007914396887159532,0.00822568093385214
shop_daily,16,0.007914396887159532,0.007906614785992219
shop_daily,17,0.0076342412451361865,0.0070972762645914395
shop_daily,18,0.005035019455252919,0.004466926070038911
shop_daily,19,0.0026536964980544745,0.0022412451361867704
shop_daily,20,6.381322957198444E-4,5.214007782101168E-4
shop_daily,21,1.4785992217898833E-4,9.33852140077821E-5
shop_daily,22,7.782101167315176E-5,7.003891050583658E-5
shop_other,5,1.556420233463035E-5,1.556420233463035E-5
shop_other,6,3.891050583657588E-5,8.560311284046692E-5
shop_other,7,3.424124513618677E-4,5.992217898832685E-4
shop_other,8,8.793774319066148E-4,7.937743190661479E-4
shop_other,9,0.0017898832684824903,0.0023891050583657587
shop_other,10,0.0035875486381322956,0.0037665369649805447
shop_other,11,0.00378988326848249,0.0038521400778210118
shop_other,12,0.0038443579766536964,0.0036809338521400776
shop_other,13,0.0034941634241245135,0.0037587548638132297
shop_other,14,0.004319066147859922,0.0042256809338521405
shop_other,15,0.003961089494163424,0.0038599221789883268
shop_other,16,0.0038599221789883268,0.0038054474708171205
shop_other,17,0.0029571984435797665,0.002568093385214008
shop_other,18,0.0015719844357976653,0.001252918287937743
shop_other,19,7.782101167315176E-4,6.22568093385214E-4
shop_other,20,1.556420233463035E-4,1.4785992217898833E-4
shop_other,21,2.3346303501945524E-4,2.0233463035019454E-4
shop_other,22,3.891050583657588E-5,3.11284046692607E-5
shop_other,23,7.782101167315174E-6,7.782101167315174E-6
transport,2,1.556420233463035E-5,1.556420233463035E-5
transport,5,6.22568093385214E-5,9.33852140077821E-5
transport,6,2.801556420233463E-4,5.680933852140078E-4
transport,7,0.004264591439688716,0.006770428015564202
transport,8,0.011058365758754863,0.010062256809338522
transport,9,0.005050583657587549,0.0038054474708171205
transport,10,0.001237354085603113,9.494163424124514E-4
transport,11,9.33852140077821E-4,0.0011284046692607004
transport,12,0.001284046692607004,0.0014396887159533074
transport,13,0.0020700389105058367,0.002785992217898833
transport,14,0.006116731517509728,0.007922178988326848
transport,15,0.011245136186770428,0.010622568093385213
transport,16,0.005992217898832685,0.00445136186770428
transport,17,0.002575875486381323,0.0021167315175097275
transport,18,0.0013463035019455254,0.0012140077821011673
transport,19,9.027237354085604E-4,7.859922178988327E-4
transport,20,4.2023346303501945E-4,2.568093385214008E-4
transport,21,2.490272373540856E-4,1.7898832684824903E-4
transport,22,1.1673151750972762E-4,1.0894941634241245E-4
transport,23,6.22568093385214E-5,1.556420233463035E-5
transport,26,7.782101167315174E-6,0.0
transport,30,0.0,7.782101167315174E-6
transport,31,7.782101167315174E-6,0.0
work,1,7.782101167315174E-6,3.891050583657588E-5
work,2,3.11284046692607E-5,7.003891050583658E-5
work,3,3.891050583657588E-5,1.3229571984435797E-4
work,4,1.7898832684824903E-4,7.237354085603113E-4
work,5,0.001688715953307393,0.005478599221789883
work,6,0.007992217898832685,0.012093385214007782
work,7,0.01759533073929961,0.026140077821011673
work,8,0.031782101167315176,0.03037354085603113
work,9,0.0274863813229572,0.017828793774319066
work,10,0.010147859922178988,0.006490272373540856
work,11,0.004910505836575875,0.004155642023346303
work,12,0.006972762645914397,0.007424124513618677
work,13,0.008046692607003891,0.007346303501945525
work,14,0.004171206225680934,0.003727626459143969
work,15,0.002443579766536965,0.002007782101167315
work,16,0.0012140077821011673,9.649805447470817E-4
work,17,9.33852140077821E-4,8.482490272373541E-4
work,18,5.992217898832685E-4,5.992217898832685E-4
work,19,4.2023346303501945E-4,2.8793774319066146E-4
work,20,1.0116731517509727E-4,4.669260700389105E-5
work,21,8.560311284046692E-5,3.035019455252918E-4
work,22,2.0233463035019454E-4,8.560311284046692E-5
work,23,9.33852140077821E-5,2.3346303501945526E-5
work,24,2.3346303501945526E-5,7.782101167315174E-6
work,25,2.3346303501945526E-5,0.0
work,26,7.782101167315174E-6,0.0
work,27,0.0,2.3346303501945526E-5
work,28,7.782101167315174E-6,0.0
work,30,7.782101167315174E-6,0.0
work,31,7.782101167315174E-6,0.0
work_business,2,0.0,1.556420233463035E-5
work_business,3,1.556420233463035E-5,2.3346303501945526E-5
work_business,4,0.0,8.560311284046692E-5
work_business,5,9.33852140077821E-5,1.4007782101167315E-4
work_business,6,2.490272373540856E-4,4.280155642023346E-4
work_business,7,8.638132295719844E-4,0.001906614785992218
work_business,8,0.0026070038910505837,0.002817120622568093
work_business,9,0.002848249027237354,0.002342412451361868
work_business,10,0.0021712062256809338,0.001821011673151751
work_business,11,0.0018832684824902724,0.0018443579766536965
work_business,12,0.0019299610894941634,0.0018988326848249028
work_business,13,0.0021712062256809338,0.0021167315175097275
work_business,14,0.0018287937743190661,0.0017587548638132297
work_business,15,0.0012918287937743191,0.0014085603112840466
work_business,16,0.001377431906614786,0.0010817120622568094
work_business,17,7.937743190661479E-4,6.147859922178988E-4
work_business,18,5.603112840466926E-4,4.980544747081712E-4
work_business,19,2.0233463035019454E-4,1.0894941634241245E-4
work_business,20,5.447470817120623E-5,3.11284046692607E-5
work_business,21,1.556420233463035E-5,2.3346303501945526E-5
work_business,22,1.556420233463035E-5,1.556420233463035E-5
work_business,23,1.556420233463035E-5,7.782101167315174E-6
