income,dist_group,main_mode,ref_share,sim_share
2600 - 3000,0 - 1000,bike,0.04149356389552307,0.012840963471048013
2600 - 3000,0 - 1000,car,0.011541052371186121,0.002871271335141171
2600 - 3000,0 - 1000,pt,0.0037531526647850847,0.00837454139416175
2600 - 3000,0 - 1000,ride,0.003712806863678218,0.002631998723879407
2600 - 3000,0 - 1000,walk,0.22998833449818365,0.26232253947998085
2600 - 3000,1000 - 2000,bike,0.04629551279380722,0.05790397192534695
2600 - 3000,1000 - 2000,car,0.02437230920610378,0.009012601690859786
2600 - 3000,1000 - 2000,pt,0.01820483747470896,0.031663742223640136
2600 - 3000,1000 - 2000,ride,0.010298110670851011,0.013239751156484288
2600 - 3000,1000 - 2000,walk,0.05234216881862283,0.030307864093156806
2600 - 3000,2000 - 5000,bike,0.05609731539035026,0.0914818950390812
2600 - 3000,2000 - 5000,car,0.05119912197216824,0.017865688307545063
2600 - 3000,2000 - 5000,pt,0.07075639388827012,0.07393523687988515
2600 - 3000,2000 - 5000,ride,0.017739166078363386,0.03900143563566757
2600 - 3000,2000 - 5000,walk,0.01368234409862979,0.0011166055192215665
2600 - 3000,5000 - 10000,bike,0.025609365117338957,0.02791513798053916
2600 - 3000,5000 - 10000,car,0.05478211087071505,0.016031264954538202
2600 - 3000,5000 - 10000,pt,0.08041337693449645,0.07832190141968416
2600 - 3000,5000 - 10000,ride,0.014699866404994835,0.044504705694688146
2600 - 3000,5000 - 10000,walk,0.0014923007929669577,1.595150741745095E-4
2600 - 3000,10000 - 20000,bike,0.007413905642428567,0.0041473919285372465
2600 - 3000,10000 - 20000,car,0.0441740931201671,0.01595150741745095
2600 - 3000,10000 - 20000,pt,0.06516252660688335,0.09889934598819589
2600 - 3000,10000 - 20000,ride,0.0076820260403931,0.02153453501355878
2600 - 3000,10000 - 20000,walk,4.195500443180223E-4,
2600 - 3000,20000+,bike,7.696474863761435E-4,
2600 - 3000,20000+,car,0.020873916468958396,0.008135268782899984
2600 - 3000,20000+,pt,0.021115394380993573,0.027356835220928376
2600 - 3000,20000+,ride,0.0038320950047968515,0.0024724836497048972
2600 - 3000,20000+,walk,8.363439894094326E-5,
3000 - 3600,0 - 1000,bike,0.041578601201133755,0.015722686474775618
3000 - 3600,0 - 1000,car,0.00935144528418262,0.0029712163416898804
3000 - 3600,0 - 1000,pt,0.0027408844677735814,0.007985143918291552
3000 - 3600,0 - 1000,ride,0.004238232155596503,0.0030331166821417526
3000 - 3600,0 - 1000,walk,0.21610179079244532,0.26344784896316936
3000 - 3600,1000 - 2000,bike,0.048032361843383685,0.056948313215722704
3000 - 3600,1000 - 2000,car,0.022248631980859038,0.006190034045187251
3000 - 3600,1000 - 2000,pt,0.015619417507692598,0.03206437635406996
3000 - 3600,1000 - 2000,ride,0.010511951434527548,0.012318167749922629
3000 - 3600,1000 - 2000,walk,0.05613023640342645,0.03472609099350047
3000 - 3600,2000 - 5000,bike,0.055810699822053486,0.08245125348189417
3000 - 3600,2000 - 5000,car,0.05340566727075327,0.015660786134323743
3000 - 3600,2000 - 5000,pt,0.0649126995761758,0.06716186939028167
3000 - 3600,2000 - 5000,ride,0.024697414925814103,0.0364593005261529
3000 - 3600,2000 - 5000,walk,0.0130524613342648,8.047044258743425E-4
3000 - 3600,5000 - 10000,bike,0.026838632927823132,0.035468895078922945
3000 - 3600,5000 - 10000,car,0.059801193655250294,0.019560507582791712
3000 - 3600,5000 - 10000,pt,0.07523156388803977,0.07941813679975242
3000 - 3600,5000 - 10000,ride,0.01738236950056173,0.05218198700092852
3000 - 3600,5000 - 10000,walk,0.001769196174191099,2.4760136180748996E-4
3000 - 3600,10000 - 20000,bike,0.00724387263637572,0.0035902197462086053
3000 - 3600,10000 - 20000,car,0.04415052329681858,0.013556174558960079
3000 - 3600,10000 - 20000,pt,0.06584003707449936,0.09093160012380071
3000 - 3600,10000 - 20000,ride,0.008299496149072902,0.02073661405137729
3000 - 3600,10000 - 20000,walk,3.060385211975761E-4,
3000 - 3600,20000+,bike,3.183563630855958E-4,6.190034045187249E-5
3000 - 3600,20000+,car,0.02576104422454801,0.009346951408232747
3000 - 3600,20000+,pt,0.024333199744034157,0.03460229031259673
3000 - 3600,20000+,ride,0.003943685578895835,0.00222841225626741
3000 - 3600,20000+,walk,3.4829426552370634E-4,1.2380068090374498E-4
3600 - 4600,0 - 1000,bike,0.048124970698352754,0.017108548961266675
3600 - 4600,0 - 1000,car,0.010255769635116855,0.0036129854949258815
3600 - 4600,0 - 1000,pt,0.0021911932092977433,0.007757292386164394
3600 - 4600,0 - 1000,ride,0.004308896419719162,0.003506721215663356
3600 - 4600,0 - 1000,walk,0.22206106367899595,0.27108017639870363
3600 - 4600,1000 - 2000,bike,0.052227954464321456,0.060304978481483466
3600 - 4600,1000 - 2000,car,0.024946590164323997,0.007757292386164394
3600 - 4600,1000 - 2000,pt,0.01639709800010549,0.0311354338239201
3600 - 4600,1000 - 2000,ride,0.013709334964290705,0.014345677700441
3600 - 4600,1000 - 2000,walk,0.04659557655612416,0.03283566229212052
3600 - 4600,2000 - 5000,bike,0.06277345647528074,0.0868179161574837
3600 - 4600,2000 - 5000,car,0.05528807677612363,0.014717602677859841
3600 - 4600,2000 - 5000,pt,0.05821114300425074,0.06349290685935925
3600 - 4600,2000 - 5000,ride,0.023037066221417938,0.04085861537644122
3600 - 4600,2000 - 5000,walk,0.012241693578406763,0.0011689070718877853
3600 - 4600,5000 - 10000,bike,0.029793736578995183,0.03427023006216461
3600 - 4600,5000 - 10000,car,0.048706846127913005,0.017480473938685515
3600 - 4600,5000 - 10000,pt,0.07131497927334175,0.07884809521279425
3600 - 4600,5000 - 10000,ride,0.01685278791881166,0.04579990436214868
3600 - 4600,5000 - 10000,walk,8.944701300119448E-4,2.1252855852505186E-4
3600 - 4600,10000 - 20000,bike,0.008000182483496952,0.0026566069815631486
3600 - 4600,10000 - 20000,car,0.046494235848529145,0.015461452632697523
3600 - 4600,10000 - 20000,pt,0.05903192135784183,0.08559587694596464
3600 - 4600,10000 - 20000,ride,0.009203684374326677,0.021040327293980136
3600 - 4600,10000 - 20000,walk,1.499917707749568E-4,3.1879283778757784E-4
3600 - 4600,20000+,bike,6.3630873932189E-4,
3600 - 4600,20000+,car,0.028970312498848703,0.008554274480633338
3600 - 4600,20000+,pt,0.02294261513909709,0.030657244567238735
3600 - 4600,20000+,ride,0.00452565455422192,0.0024972105626693596
3600 - 4600,20000+,walk,1.1238935833910544E-4,1.0626427926252593E-4
4600 - 5600,0 - 1000,bike,0.048710281958938006,0.014108930401198077
4600 - 5600,0 - 1000,car,0.010682884200143412,0.003941042011507843
4600 - 5600,0 - 1000,pt,0.00107342360286777,0.007803263182785528
4600 - 5600,0 - 1000,ride,0.004491170305608042,0.003389296129896745
4600 - 5600,0 - 1000,walk,0.20465119449744434,0.2473397966422322
4600 - 5600,1000 - 2000,bike,0.05304569917621216,0.060849688657681096
4600 - 5600,1000 - 2000,car,0.02226213068161554,0.007803263182785528
4600 - 5600,1000 - 2000,pt,0.014945223597211264,0.03074012768976117
4600 - 5600,1000 - 2000,ride,0.011531298350131437,0.01505478048395996
4600 - 5600,1000 - 2000,walk,0.046471915847856954,0.026720264838023176
4600 - 5600,2000 - 5000,bike,0.06347649814821985,0.0822101363600536
4600 - 5600,2000 - 5000,car,0.056203792506096396,0.01576416804603137
4600 - 5600,2000 - 5000,pt,0.05858982988560722,0.06526365571056987
4600 - 5600,2000 - 5000,ride,0.02775315491754835,0.03885867423346733
4600 - 5600,2000 - 5000,walk,0.009222595726733104,0.0013399542839126664
4600 - 5600,5000 - 10000,bike,0.03247204038258978,0.03609994482541184
4600 - 5600,5000 - 10000,car,0.055936315945839775,0.018286434933396392
4600 - 5600,5000 - 10000,pt,0.07311908836911181,0.08087018207614093
4600 - 5600,5000 - 10000,ride,0.016857350757699483,0.04910538346338771
4600 - 5600,5000 - 10000,walk,0.0010029335475866892,4.729250413809411E-4
4600 - 5600,10000 - 20000,bike,0.0069381263452102555,0.0030740127689761173
4600 - 5600,10000 - 20000,car,0.05021171534312263,0.020966343501221726
4600 - 5600,10000 - 20000,pt,0.05894561028837869,0.09151099550721212
4600 - 5600,10000 - 20000,ride,0.010571442804107265,0.026641443997793016
4600 - 5600,10000 - 20000,walk,1.915234977660826E-4,1.576416804603137E-4
4600 - 5600,20000+,bike,6.537986550997521E-4,2.3646252069047056E-4
4600 - 5600,20000+,car,0.026895233621084428,0.009852605028769607
4600 - 5600,20000+,pt,0.028210661638814548,0.03783400331047529
4600 - 5600,20000+,ride,0.004537153391440641,0.003389296129896745
4600 - 5600,20000+,walk,3.459120099144592E-4,3.152833609206274E-4
5600+,0 - 1000,bike,0.04081231520885232,0.01334802047560423
5600+,0 - 1000,car,0.011485812208722163,0.004989308624376338
5600+,0 - 1000,pt,0.002109615891521199,0.006026048078792201
5600+,0 - 1000,ride,0.005887824735804848,0.0033046070109505614
5600+,0 - 1000,walk,0.205638840209066,0.25536188686580713
5600+,1000 - 2000,bike,0.05297341416560734,0.06609214021901123
5600+,1000 - 2000,car,0.025241394336974542,0.008682692930732849
5600+,1000 - 2000,pt,0.012876743472278455,0.029871055530357033
5600+,1000 - 2000,ride,0.014842482652864112,0.012376077237089358
5600+,1000 - 2000,walk,0.045522632703706566,0.0316853495755848
5600+,2000 - 5000,bike,0.061966221346868716,0.0927233849543187
5600+,2000 - 5000,car,0.05919732134622661,0.016847016134257764
5600+,2000 - 5000,pt,0.06030740476401822,0.06861919263914988
5600+,2000 - 5000,ride,0.02748154737239418,0.04263591006285234
5600+,2000 - 5000,walk,0.010299553904679378,0.0011663318862178453
5600+,5000 - 10000,bike,0.02832312003019088,0.0323981079504957
5600+,5000 - 10000,car,0.05790663319230656,0.015810276679841903
5600+,5000 - 10000,pt,0.0670964118308329,0.07276615045681334
5600+,5000 - 10000,ride,0.016905860619605945,0.04678286788051579
5600+,5000 - 10000,walk,0.0017270482364382673,6.479621590099139E-5
5600+,10000 - 20000,bike,0.009517480524723213,0.0027214410678416388
5600+,10000 - 20000,car,0.05232446569437673,0.015097518304930996
5600+,10000 - 20000,pt,0.05913464168614534,0.09155705306810084
5600+,10000 - 20000,ride,0.010731603541464917,0.022095509622238066
5600+,10000 - 20000,walk,0.0011074350420896743,1.9438864770297422E-4
5600+,20000+,bike,0.0012576114443223207,
5600+,20000+,car,0.028100295532542622,0.010237802112356642
5600+,20000+,pt,0.02486302599822139,0.03317566254130759
5600+,20000+,ride,0.0042120823120815505,0.0033046070109505614
5600+,20000+,walk,1.4915999507293675E-4,6.479621590099139E-5
