ref_id,person,weight,n,euclidean_distance,true_mode,pred_mode
198155,berlin_2dc37165,0.8421889905722,1,540,walk,walk
198155,berlin_2dc37165,0.8421889905722,2,684,walk,walk
198155,berlin_2dc37165,0.8421889905722,3,776,walk,walk
198155,berlin_2dc37165,0.8421889905722,4,687,walk,walk
198155,berlin_2dc37165,0.8421889905722,5,4589,car,ride
142416,berlin_2e177ecb,0.90615318140838,0,741,bike,walk
142416,berlin_2e177ecb,0.90615318140838,1,741,bike,walk
139537,berlin_2e26f865,0.49090112519468,0,5057,car,ride
139537,berlin_2e26f865,0.49090112519468,1,5057,car,ride
149895,berlin_2e3fef85,0.48314652769406,0,1274,ride,ride
149895,berlin_2e3fef85,0.48314652769406,1,1274,ride,ride
220695,berlin_2e81fc4d,1.06988858209778,0,8884,pt,pt
220695,berlin_2e81fc4d,1.06988858209778,1,554,walk,walk
220695,berlin_2e81fc4d,1.06988858209778,2,611,walk,walk
220695,berlin_2e81fc4d,1.06988858209778,3,9934,pt,pt
232128,berlin_2eb164b3,0.86356092248397,0,188,walk,walk
232128,berlin_2eb164b3,0.86356092248397,1,188,walk,walk
232128,berlin_2eb164b3,0.86356092248397,2,2938,pt,ride
232128,berlin_2eb164b3,0.86356092248397,3,2938,pt,ride
208983,berlin_2ebda0a6,0.42379817446208,0,10439,pt,pt
208983,berlin_2ebda0a6,0.42379817446208,1,12865,pt,pt
208983,berlin_2ebda0a6,0.42379817446208,2,2327,pt,pt
208983,berlin_2ebda0a6,0.42379817446208,3,475,bike,pt
44346,berlin_2f845bb9,0.60649926466922,0,11277,car,walk
44346,berlin_2f845bb9,0.60649926466922,1,11277,car,pt
196846,berlin_2f85fef4,1.08939895843316,0,8350,pt,pt
196846,berlin_2f85fef4,1.08939895843316,1,238,walk,walk
196846,berlin_2f85fef4,1.08939895843316,2,126,walk,walk
196846,berlin_2f85fef4,1.08939895843316,3,8287,pt,pt
196846,berlin_2f85fef4,1.08939895843316,4,416,walk,ride
196846,berlin_2f85fef4,1.08939895843316,5,416,walk,pt
90460,berlin_2fba062e,0.71793903718119,0,2086,bike,bike
90460,berlin_2fba062e,0.71793903718119,1,2086,bike,bike
284691,berlin_2ff51cd7,0.65255575058459,0,412,walk,walk
284691,berlin_2ff51cd7,0.65255575058459,1,412,walk,walk
284691,berlin_2ff51cd7,0.65255575058459,2,822,bike,bike
284691,berlin_2ff51cd7,0.65255575058459,3,876,bike,bike
284691,berlin_2ff51cd7,0.65255575058459,4,956,bike,bike
208378,berlin_301e1549,0.64093874023144,0,14187,car,pt
208378,berlin_301e1549,0.64093874023144,1,14187,car,pt
264790,berlin_307ca309,0.93197306120343,0,353,walk,walk
264790,berlin_307ca309,0.93197306120343,1,353,walk,walk
264790,berlin_307ca309,0.93197306120343,2,5073,pt,pt
264790,berlin_307ca309,0.93197306120343,3,5073,pt,pt
65365,berlin_30ef45ff,0.87825367459943,0,6795,car,pt
65365,berlin_30ef45ff,0.87825367459943,1,757,car,pt
65365,berlin_30ef45ff,0.87825367459943,2,6450,car,pt
167195,berlin_311611a7,1.15774242365373,0,3536,pt,pt
167195,berlin_311611a7,1.15774242365373,1,10722,ride,pt
167195,berlin_311611a7,1.15774242365373,2,7596,ride,ride
263506,berlin_31289d6b,2.28565560476368,0,4661,pt,ride
263506,berlin_31289d6b,2.28565560476368,1,464,walk,walk
263506,berlin_31289d6b,2.28565560476368,2,1220,walk,ride
263506,berlin_31289d6b,2.28565560476368,3,1294,walk,ride
263506,berlin_31289d6b,2.28565560476368,4,5221,pt,ride
132874,berlin_313376aa,0.56557999920968,0,4084,bike,pt
132874,berlin_313376aa,0.56557999920968,1,238,walk,walk
132874,berlin_313376aa,0.56557999920968,2,409,walk,walk
132874,berlin_313376aa,0.56557999920968,3,4075,bike,pt
287140,berlin_31c92512,0.64434960443622,0,13292,pt,pt
287140,berlin_31c92512,0.64434960443622,1,12560,pt,pt
287140,berlin_31c92512,0.64434960443622,2,928,car,ride
10811,berlin_31d4fd47,0.64659007058151,0,546,bike,walk
10811,berlin_31d4fd47,0.64659007058151,1,519,bike,walk
10811,berlin_31d4fd47,0.64659007058151,2,949,bike,walk
77599,berlin_32421660,0.88171790293881,0,1701,bike,bike
77599,berlin_32421660,0.88171790293881,1,1701,bike,bike
77599,berlin_32421660,0.88171790293881,2,225,walk,walk
77599,berlin_32421660,0.88171790293881,3,225,walk,walk
20445,berlin_329bf6aa,0.81884215456384,0,1336,walk,pt
20445,berlin_329bf6aa,0.81884215456384,1,1336,walk,pt
