True/Pred,bike,car,pt,ride,walk
bike,0.2863567302943105,0.011901637193851552,0.36145438504421984,0.08617533416272675,0.25411191330489113
car,0.20030645568981975,0.16411325010842925,0.40589266323618517,0.18309803059677876,0.04658960036878711
pt,0.2130862340668746,0.02440935469492754,0.5485261244004059,0.1889280468666214,0.025050239971170424
ride,0.2887731114574895,0.06406766823124953,0.3076255266429601,0.2710423369562835,0.06849135671201728
walk,0.10487223232227329,0.018933878552718556,0.16281632556925763,0.05438906816766449,0.658988495388086
