Mode,Precision,Recall,F1 Score
bike,0.29963,0.28636,0.29284
car,0.55836,0.16411,0.25367
pt,0.41708,0.54853,0.47385
ride,0.10928,0.27104,0.15576
walk,0.76761,0.65899,0.70916
