Iteration;bike_travel;bike_wait;car_travel;car_wait;freight_travel;freight_wait;pt_travel;pt_wait;ride_travel;ride_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
83;11296;0;24038;0;6937;0;14668;3770;4590;0;0;0;27922;0
84;11353;0;24130;0;6956;0;14624;3749;4695;0;0;0;28214;0
85;11155;0;23520;0;6973;0;14773;3760;4653;0;0;0;28016;0
86;11192;0;23669;0;6934;0;14812;3786;4554;0;0;0;28274;0
87;11481;0;23562;0;6959;0;14690;3762;4573;0;0;0;27844;0
88;11456;0;23966;0;6938;0;14652;3720;4672;0;0;0;28108;0
89;11265;0;24114;0;6929;0;14706;3694;4679;0;0;0;27721;0
90;11149;0;23724;0;6908;0;14725;3663;4593;0;0;0;28030;0
91;11152;0;23627;0;6949;0;14647;3699;4649;0;0;0;28307;0
92;11176;0;22917;0;6794;0;14752;3699;4695;0;0;0;28077;0
93;11159;0;23132;0;6839;0;14757;3767;4660;0;0;0;28166;0
94;11124;0;23685;0;6836;0;14787;3696;4633;0;0;0;28187;0
95;11249;0;23607;0;6786;0;14780;3684;4628;0;0;0;27716;0
96;11170;0;23368;0;6891;0;14798;3755;4636;0;0;0;27584;0
97;10996;0;23162;0;6866;0;14813;3763;4613;0;0;0;27807;0
98;11216;0;23107;0;6790;0;14831;3656;4615;0;0;0;27636;0
99;11269;0;23052;0;6820;0;14848;3727;4603;0;0;0;27968;0
100;11207;0;23336;0;6810;0;14829;3668;4601;0;0;0;27445;0
101;11237;0;23195;0;6777;0;14806;3699;4666;0;0;0;27787;0
102;11099;0;22925;0;6779;0;14860;3750;4678;0;0;0;27614;0
103;11100;0;22850;0;6800;0;14899;3701;4607;0;0;0;27686;0
104;11220;0;22945;0;6881;0;14863;3752;4626;0;0;0;27320;0
105;11007;0;22922;0;6843;0;14874;3703;4643;0;0;0;27886;0
106;11115;0;23127;0;6839;0;14928;3712;4564;0;0;0;27388;0
107;11266;0;22981;0;6906;0;14841;3701;4627;0;0;0;27620;0
108;11256;0;22485;0;6820;0;14910;3709;4604;0;0;0;27816;0
109;11157;0;22961;0;6880;0;14841;3757;4628;0;0;0;27531;0
110;11073;0;22840;0;6823;0;14944;3806;4571;0;0;0;27353;0
111;11117;0;22867;0;6858;0;14895;3726;4645;0;0;0;27551;0
112;11168;0;22732;0;6855;0;14954;3669;4594;0;0;0;27550;0
113;11281;0;22693;0;6730;0;14941;3709;4539;0;0;0;27597;0
114;11363;0;22376;0;6722;0;14898;3700;4595;0;0;0;27627;0
115;11181;0;22965;0;6794;0;14940;3646;4617;0;0;0;27376;0
116;11070;0;22990;0;6766;0;14934;3644;4600;0;0;0;27664;0
117;11165;0;22591;0;6762;0;14975;3710;4638;0;0;0;27578;0
