Iteration;bike_travel;bike_wait;car_travel;car_wait;freight_travel;freight_wait;pt_travel;pt_wait;ride_travel;ride_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
368;10431;0;20096;0;6480;0;15733;3251;4486;0;0;0;23787;0
369;10398;0;20049;0;6462;0;15757;3284;4518;0;0;0;23725;0
370;10385;0;19887;0;6450;0;15755;3253;4531;0;0;0;23833;0
371;10401;0;19998;0;6409;0;15795;3263;4478;0;0;0;23706;0
372;10456;0;19929;0;6412;0;15771;3296;4494;0;0;0;23754;0
373;10362;0;19960;0;6481;0;15792;3280;4472;0;0;0;23628;0
374;10385;0;20041;0;6465;0;15790;3271;4492;0;0;0;23616;0
375;10528;0;19988;0;6404;0;15740;3217;4480;0;0;0;23827;0
376;10317;0;19954;0;6392;0;15806;3244;4500;0;0;0;23654;0
377;10284;0;20108;0;6462;0;15818;3261;4474;0;0;0;23764;0
378;10460;0;19977;0;6410;0;15812;3252;4486;0;0;0;23753;0
379;10300;0;19850;0;6418;0;15792;3211;4510;0;0;0;23721;0
380;10316;0;19854;0;6434;0;15842;3267;4483;0;0;0;23708;0
381;10403;0;19845;0;6412;0;15805;3213;4492;0;0;0;23782;0
382;10350;0;19585;0;6402;0;15834;3246;4487;0;0;0;23625;0
383;10381;0;19833;0;6376;0;15784;3215;4522;0;0;0;23596;0
384;10407;0;19841;0;6377;0;15798;3207;4514;0;0;0;23613;0
385;10372;0;19980;0;6390;0;15788;3244;4518;0;0;0;23851;0
386;10378;0;19939;0;6444;0;15828;3242;4518;0;0;0;23485;0
387;10383;0;19640;0;6365;0;15776;3219;4535;0;0;0;23704;0
388;10343;0;19941;0;6439;0;15800;3202;4524;0;0;0;23629;0
389;10376;0;19889;0;6445;0;15823;3258;4492;0;0;0;23617;0
390;10362;0;19962;0;6421;0;15783;3200;4522;0;0;0;23431;0
391;10467;0;19794;0;6461;0;15814;3212;4491;0;0;0;23352;0
392;10308;0;19734;0;6373;0;15778;3209;4531;0;0;0;23591;0
393;10356;0;19818;0;6425;0;15814;3213;4490;0;0;0;23651;0
394;10304;0;19740;0;6469;0;15831;3224;4496;0;0;0;23592;0
395;10405;0;19827;0;6457;0;15820;3227;4496;0;0;0;23623;0
396;10404;0;19886;0;6424;0;15826;3206;4514;0;0;0;23633;0
397;10478;0;19738;0;6444;0;15803;3207;4509;0;0;0;23408;0
398;10341;0;19771;0;6382;0;15805;3211;4529;0;0;0;23799;0
399;10399;0;19825;0;6405;0;15803;3211;4532;0;0;0;23488;0
400;10367;0;19722;0;6403;0;15798;3234;4500;0;0;0;23739;0
401;10399;0;19835;0;6447;0;15844;3242;4508;0;0;0;23504;0
402;10298;0;19710;0;6424;0;15865;3243;4526;0;0;0;23630;0
403;10379;0;19618;0;6452;0;15812;3204;4530;0;0;0;23540;0
404;10274;0;19770;0;6430;0;15829;3184;4530;0;0;0;23621;0
405;10300;0;19713;0;6419;0;15866;3231;4513;0;0;0;23471;0
406;10312;0;19679;0;6431;0;15850;3229;4550;0;0;0;23485;0
407;10301;0;19768;0;6410;0;15855;3234;4505;0;0;0;23437;0
408;10318;0;19691;0;6425;0;15825;3228;4512;0;0;0;23686;0
409;10279;0;19849;0;6397;0;15821;3202;4519;0;0;0;23560;0
410;10252;0;19734;0;6464;0;15828;3210;4551;0;0;0;23459;0
411;10299;0;19766;0;6408;0;15809;3193;4519;0;0;0;23547;0
412;10359;0;19880;0;6399;0;15832;3217;4531;0;0;0;23413;0
413;10285;0;19781;0;6449;0;15827;3187;4531;0;0;0;23513;0
414;10322;0;19796;0;6420;0;15821;3237;4506;0;0;0;23547;0
415;10264;0;19640;0;6420;0;15862;3190;4490;0;0;0;23513;0
416;10235;0;19699;0;6440;0;15857;3222;4533;0;0;0;23459;0
417;10297;0;19685;0;6393;0;15840;3211;4540;0;0;0;23529;0
418;10332;0;19705;0;6422;0;15805;3193;4555;0;0;0;23426;0
419;10259;0;19638;0;6464;0;15859;3196;4569;0;0;0;23213;0
420;10307;0;19601;0;6434;0;15847;3174;4545;0;0;0;23254;0
421;10281;0;19697;0;6486;0;15839;3207;4559;0;0;0;23389;0
422;10284;0;19731;0;6472;0;15839;3211;4533;0;0;0;23407;0
423;10377;0;19700;0;6508;0;15847;3184;4518;0;0;0;23371;0
424;10264;0;19637;0;6484;0;15838;3202;4532;0;0;0;23403;0
425;10231;0;19738;0;6460;0;15820;3181;4544;0;0;0;23413;0
426;10321;0;19764;0;6408;0;15830;3203;4535;0;0;0;23341;0
427;10302;0;19729;0;6446;0;15844;3224;4490;0;0;0;23366;0
428;10288;0;19639;0;6444;0;15838;3160;4502;0;0;0;23388;0
429;10232;0;19649;0;6404;0;15856;3165;4522;0;0;0;23352;0
430;10271;0;19738;0;6406;0;15830;3180;4517;0;0;0;23406;0
431;10226;0;19676;0;6455;0;15809;3202;4556;0;0;0;23382;0
432;10280;0;19645;0;6477;0;15854;3191;4513;0;0;0;23250;0
433;10278;0;19527;0;6433;0;15844;3180;4549;0;0;0;23208;0
434;10292;0;19716;0;6474;0;15853;3171;4539;0;0;0;23236;0
435;10250;0;19728;0;6428;0;15848;3189;4555;0;0;0;23218;0
436;10228;0;19787;0;6495;0;15843;3180;4541;0;0;0;23238;0
437;10218;0;19824;0;6441;0;15847;3176;4531;0;0;0;23314;0
438;10225;0;19619;0;6466;0;15836;3155;4538;0;0;0;23254;0
439;10294;0;19701;0;6473;0;15816;3146;4529;0;0;0;23310;0
440;10286;0;19641;0;6415;0;15825;3164;4538;0;0;0;23288;0
441;10370;0;19488;0;6388;0;15824;3180;4531;0;0;0;23198;0
442;10299;0;19436;0;6405;0;15833;3186;4548;0;0;0;23230;0
443;10211;0;19547;0;6357;0;15860;3207;4530;0;0;0;23206;0
444;10285;0;19460;0;6424;0;15855;3194;4534;0;0;0;23249;0
445;10290;0;19556;0;6393;0;15876;3179;4516;0;0;0;23344;0
446;10264;0;19658;0;6402;0;15889;3180;4520;0;0;0;23271;0
447;10287;0;19684;0;6448;0;15842;3176;4552;0;0;0;23151;0
448;10268;0;19671;0;6381;0;15867;3154;4493;0;0;0;23212;0
449;10308;0;19580;0;6409;0;15880;3160;4494;0;0;0;23258;0
450;10280;0;19658;0;6444;0;15865;3182;4517;0;0;0;23416;0
451;10236;0;19168;0;6279;0;15977;3074;4460;0;0;0;22541;0
452;10238;0;19165;0;6255;0;15974;3073;4454;0;0;0;22538;0
453;10235;0;19073;0;6258;0;15978;3073;4449;0;0;0;22538;0
454;10233;0;19089;0;6275;0;15973;3071;4450;0;0;0;22532;0
455;10230;0;19058;0;6253;0;15975;3072;4442;0;0;0;22533;0
456;10228;0;19099;0;6237;0;15974;3072;4446;0;0;0;22532;0
457;10225;0;19073;0;6255;0;15975;3071;4443;0;0;0;22529;0
458;10224;0;19049;0;6219;0;15975;3071;4443;0;0;0;22530;0
459;10217;0;18982;0;6197;0;15979;3072;4442;0;0;0;22536;0
460;10211;0;19010;0;6208;0;15975;3072;4445;0;0;0;22537;0
461;10208;0;18952;0;6196;0;15975;3071;4444;0;0;0;22533;0
462;10200;0;18948;0;6215;0;15973;3071;4445;0;0;0;22531;0
463;10200;0;18953;0;6191;0;15973;3071;4446;0;0;0;22535;0
464;10198;0;18919;0;6203;0;15970;3070;4443;0;0;0;22534;0
465;10190;0;18945;0;6177;0;15970;3069;4445;0;0;0;22536;0
466;10190;0;18940;0;6198;0;15971;3070;4448;0;0;0;22536;0
467;10187;0;18967;0;6189;0;15969;3071;4446;0;0;0;22531;0
468;10187;0;18925;0;6210;0;15969;3069;4446;0;0;0;22536;0
469;10185;0;18950;0;6203;0;15971;3070;4447;0;0;0;22536;0
470;10182;0;18905;0;6200;0;15971;3069;4446;0;0;0;22534;0
471;10189;0;18932;0;6196;0;15970;3069;4442;0;0;0;22529;0
472;10188;0;18925;0;6181;0;15969;3070;4442;0;0;0;22528;0
473;10190;0;18912;0;6212;0;15968;3069;4446;0;0;0;22529;0
474;10183;0;18930;0;6221;0;15969;3069;4445;0;0;0;22529;0
475;10183;0;18936;0;6197;0;15966;3067;4445;0;0;0;22523;0
476;10185;0;18897;0;6200;0;15965;3067;4451;0;0;0;22522;0
477;10179;0;18900;0;6222;0;15965;3067;4450;0;0;0;22523;0
478;10179;0;18913;0;6243;0;15963;3066;4451;0;0;0;22522;0
479;10175;0;18885;0;6254;0;15962;3065;4452;0;0;0;22519;0
480;10176;0;18914;0;6222;0;15959;3064;4454;0;0;0;22523;0
481;10173;0;18914;0;6211;0;15959;3064;4451;0;0;0;22520;0
482;10180;0;18869;0;6199;0;15954;3063;4450;0;0;0;22520;0
483;10181;0;18932;0;6222;0;15953;3061;4452;0;0;0;22520;0
484;10178;0;18875;0;6211;0;15952;3060;4454;0;0;0;22521;0
485;10177;0;18865;0;6206;0;15950;3060;4456;0;0;0;22517;0
486;10176;0;18930;0;6194;0;15953;3061;4452;0;0;0;22521;0
487;10175;0;18897;0;6211;0;15953;3061;4449;0;0;0;22521;0
488;10176;0;18871;0;6210;0;15955;3062;4447;0;0;0;22526;0
489;10177;0;18876;0;6205;0;15953;3061;4446;0;0;0;22524;0
490;10177;0;18919;0;6217;0;15951;3061;4446;0;0;0;22524;0
491;10178;0;18880;0;6214;0;15948;3059;4449;0;0;0;22521;0
492;10175;0;18874;0;6218;0;15950;3059;4447;0;0;0;22525;0
493;10172;0;18883;0;6214;0;15951;3059;4445;0;0;0;22523;0
494;10170;0;18888;0;6218;0;15951;3059;4447;0;0;0;22522;0
495;10169;0;18939;0;6197;0;15953;3060;4444;0;0;0;22525;0
496;10163;0;18936;0;6227;0;15951;3061;4446;0;0;0;22525;0
497;10162;0;18894;0;6212;0;15950;3061;4448;0;0;0;22524;0
498;10157;0;18932;0;6212;0;15944;3060;4453;0;0;0;22518;0
499;10153;0;18863;0;6186;0;15943;3059;4455;0;0;0;22523;0
500;10159;0;18868;0;6185;0;15942;3058;4455;0;0;0;22517;0
