it;globalInnovationRate_person;ChangeExpBeta_person;ReRoute_person;TimeAllocationMutator_person;SubtourModeChoice_person
116;0.3393;0.6607;0.1131;0.1131;0.1131
117;0.3385;0.6615;0.1128;0.1128;0.1128
118;0.3376;0.6624;0.1125;0.1125;0.1125
119;0.3368;0.6632;0.1123;0.1123;0.1123
120;0.3359;0.6641;0.1120;0.1120;0.1120
121;0.3351;0.6649;0.1117;0.1117;0.1117
122;0.3342;0.6658;0.1114;0.1114;0.1114
123;0.3334;0.6666;0.1111;0.1111;0.1111
124;0.3325;0.6675;0.1108;0.1108;0.1108
125;0.3317;0.6683;0.1106;0.1106;0.1106
126;0.3308;0.6692;0.1103;0.1103;0.1103
127;0.3299;0.6701;0.1100;0.1100;0.1100
128;0.3291;0.6709;0.1097;0.1097;0.1097
129;0.3282;0.6718;0.1094;0.1094;0.1094
130;0.3273;0.6727;0.1091;0.1091;0.1091
131;0.3264;0.6736;0.1088;0.1088;0.1088
132;0.3255;0.6745;0.1085;0.1085;0.1085
133;0.3246;0.6754;0.1082;0.1082;0.1082
134;0.3237;0.6763;0.1079;0.1079;0.1079
135;0.3228;0.6772;0.1076;0.1076;0.1076
136;0.3219;0.6781;0.1073;0.1073;0.1073
137;0.3210;0.6790;0.1070;0.1070;0.1070
138;0.3201;0.6799;0.1067;0.1067;0.1067
139;0.3192;0.6808;0.1064;0.1064;0.1064
140;0.3182;0.6818;0.1061;0.1061;0.1061
141;0.3173;0.6827;0.1058;0.1058;0.1058
142;0.3164;0.6836;0.1055;0.1055;0.1055
143;0.3155;0.6845;0.1052;0.1052;0.1052
144;0.3145;0.6855;0.1048;0.1048;0.1048
145;0.3136;0.6864;0.1045;0.1045;0.1045
146;0.3126;0.6874;0.1042;0.1042;0.1042
147;0.3117;0.6883;0.1039;0.1039;0.1039
148;0.3107;0.6893;0.1036;0.1036;0.1036
149;0.3098;0.6902;0.1033;0.1033;0.1033
150;0.3088;0.6912;0.1029;0.1029;0.1029
151;0.3079;0.6921;0.1026;0.1026;0.1026
152;0.3069;0.6931;0.1023;0.1023;0.1023
153;0.3059;0.6941;0.1020;0.1020;0.1020
154;0.3050;0.6950;0.1017;0.1017;0.1017
155;0.3040;0.6960;0.1013;0.1013;0.1013
156;0.3030;0.6970;0.1010;0.1010;0.1010
157;0.3020;0.6980;0.1007;0.1007;0.1007
158;0.3011;0.6989;0.1004;0.1004;0.1004
159;0.3001;0.6999;0.1000;0.1000;0.1000
160;0.2991;0.7009;0.0997;0.0997;0.0997
161;0.2981;0.7019;0.0994;0.0994;0.0994
162;0.2971;0.7029;0.0990;0.0990;0.0990
163;0.2961;0.7039;0.0987;0.0987;0.0987
164;0.2951;0.7049;0.0984;0.0984;0.0984
165;0.2941;0.7059;0.0980;0.0980;0.0980
166;0.2931;0.7069;0.0977;0.0977;0.0977
167;0.2921;0.7079;0.0974;0.0974;0.0974
168;0.2911;0.7089;0.0970;0.0970;0.0970
169;0.2900;0.7100;0.0967;0.0967;0.0967
170;0.2890;0.7110;0.0963;0.0963;0.0963
171;0.2880;0.7120;0.0960;0.0960;0.0960
172;0.2870;0.7130;0.0957;0.0957;0.0957
173;0.2859;0.7141;0.0953;0.0953;0.0953
174;0.2849;0.7151;0.0950;0.0950;0.0950
175;0.2839;0.7161;0.0946;0.0946;0.0946
176;0.2828;0.7172;0.0943;0.0943;0.0943
177;0.2818;0.7182;0.0939;0.0939;0.0939
178;0.2808;0.7192;0.0936;0.0936;0.0936
179;0.2797;0.7203;0.0932;0.0932;0.0932
180;0.2787;0.7213;0.0929;0.0929;0.0929
181;0.2776;0.7224;0.0925;0.0925;0.0925
182;0.2766;0.7234;0.0922;0.0922;0.0922
183;0.2755;0.7245;0.0918;0.0918;0.0918
184;0.2745;0.7255;0.0915;0.0915;0.0915
185;0.2734;0.7266;0.0911;0.0911;0.0911
186;0.2724;0.7276;0.0908;0.0908;0.0908
187;0.2713;0.7287;0.0904;0.0904;0.0904
188;0.2702;0.7298;0.0901;0.0901;0.0901
189;0.2692;0.7308;0.0897;0.0897;0.0897
190;0.2681;0.7319;0.0894;0.0894;0.0894
191;0.2670;0.7330;0.0890;0.0890;0.0890
192;0.2660;0.7340;0.0887;0.0887;0.0887
193;0.2649;0.7351;0.0883;0.0883;0.0883
194;0.2638;0.7362;0.0879;0.0879;0.0879
195;0.2628;0.7372;0.0876;0.0876;0.0876
196;0.2617;0.7383;0.0872;0.0872;0.0872
197;0.2606;0.7394;0.0869;0.0869;0.0869
198;0.2595;0.7405;0.0865;0.0865;0.0865
199;0.2584;0.7416;0.0861;0.0861;0.0861
200;0.2574;0.7426;0.0858;0.0858;0.0858
201;0.2563;0.7437;0.0854;0.0854;0.0854
202;0.2552;0.7448;0.0851;0.0851;0.0851
203;0.2541;0.7459;0.0847;0.0847;0.0847
