Iteration;bike;car;freight;pt;ride;walk
158;123087;584974;236274;493895;163059;119742
159;124072;585064;236244;491338;164734;118335
160;122914;585691;236134;490746;166993;117928
161;123298;583590;236125;491507;165133;118138
162;123125;584398;234848;494433;161812;118689
163;123414;584636;235792;493866;164448;117653
164;124846;582115;235665;493977;161947;119422
165;125516;584331;235185;490695;162959;118724
166;124084;583796;235232;492737;163189;118433
167;123520;584147;235230;492414;163494;117648
168;123212;581798;235126;493950;162918;118867
169;122031;583253;235492;492670;165385;118593
170;121595;584982;235329;498846;161397;117471
171;123042;584590;235702;494697;163794;117353
172;122218;585351;235374;496682;162008;116968
173;122499;582771;236040;497790;160993;116770
174;125457;582065;236125;495607;163338;117152
175;121767;581821;235196;492518;167054;117531
176;122082;583159;235348;494335;164297;118415
177;121303;581661;235204;496239;164973;116888
178;122876;579187;235429;498788;164508;116727
179;122092;583415;235665;493976;166741;117319
180;121895;582454;236016;495937;165001;117421
181;121882;583078;235934;495281;164661;116798
182;123734;581824;236094;496481;162687;116897
183;121029;581456;236177;497754;165098;116364
184;122512;582434;235513;498808;160479;116725
185;121459;582946;236085;498505;163244;116694
186;121122;582981;235824;499573;163264;114944
187;123200;582391;235555;498988;162260;116236
188;121584;583374;235574;498908;163462;115765
189;123081;582918;235583;497530;163499;116749
190;123315;580111;234483;496842;163627;117030
191;121350;583929;235464;493803;165114;117057
192;120774;583816;235327;495488;165775;117217
193;121749;579397;235876;498726;163812;117470
194;120830;580489;234445;498472;165067;115881
195;121611;583703;235143;498715;163582;116420
196;122779;581227;234662;498055;163605;115268
197;122414;580990;236162;498115;164196;116503
198;120639;582518;235496;500952;161385;116283
199;121299;581552;236077;498401;164331;117153
200;121274;579081;235144;502018;163200;116332
201;122364;581545;235258;501614;160797;115190
202;121904;583291;235637;499070;162098;113686
203;122001;581593;235649;501110;160125;115779
204;122278;578636;235242;501548;163022;115210
205;120972;579548;235576;500297;162671;116725
206;122578;581421;235873;499164;162436;114851
207;121947;580015;234986;501166;163226;116465
208;122819;578736;235576;501361;163425;115649
209;121678;579436;235221;502461;161600;115713
210;120671;582288;234447;498724;162956;116698
211;121690;579590;235055;502116;162234;114011
212;119441;578977;235279;501658;164618;114842
213;122047;577846;234990;501918;163386;114521
214;120939;579436;235303;501760;161512;115511
215;121335;578288;235272;503606;162862;114738
216;121964;577805;235400;503845;163792;113834
217;121715;578711;234558;500100;163140;116382
218;120390;579121;235407;501526;162726;115420
219;121853;580925;235610;502594;162276;113223
220;119889;577921;235575;501508;164806;114537
221;120631;580343;235625;503582;161456;114328
222;120174;579748;235778;504690;162815;113642
