Iteration	bike	car	freight	pt	ride	walk
0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	0.0
9	0.07586176593360722	0.15205857152272778	0.030213985983259	0.10939319375178505	0.03277896170661511	0.17753806270184766
10	0.09143836368829229	0.16887097128545378	0.030213985983259	0.1371081134521168	0.04147900784322341	0.20010106114199092
11	0.10338444976602149	0.18027330447964496	0.030213985983259	0.1546565019662983	0.0480864292462157	0.21516686073335237
12	0.1130072280686337	0.1888360392820265	0.030213985983259	0.1673605466089593	0.053804073203418505	0.22640442032647143
13	0.12142166663005032	0.19510842102950546	0.030213985983259	0.1765109739218314	0.05918667750510798	0.23536810422479512
14	0.1290287145462135	0.20101280840125668	0.030213985983259	0.1842113935452688	0.06439901575235626	0.24319485027572116
15	0.1357844321901707	0.20622514664850494	0.030213985983259	0.19076938286793946	0.06866115956675528	0.2491706395412703
16	0.14194147241689917	0.21008084891359272	0.030213985983259	0.1967232023200123	0.07324186567656041	0.2549816552057473
17	0.14728562954500515	0.21367840587033415	0.030213985983259	0.202199178328976	0.07769075290550784	0.25999077267834
18	0.15219588285695454	0.21703978733220555	0.030213985983259	0.2069721203066986	0.08190346463958521	0.26483511654986047
19	0.15706768899532042	0.21977502911000285	0.030213985983259	0.21150888678955115	0.0860942065601863	0.2687237735351627
20	0.16157150075795856	0.22219170859239404	0.030213985983259	0.21548542302875848	0.09030142584089461	0.2725904607069886
21	0.16559746907748754	0.22436672012654613	0.030213985983259	0.21899510073159478	0.09394841487795769	0.27599028934244346
22	0.16925544302128875	0.22642089768657864	0.030213985983259	0.22260364259507437	0.09790298130368873	0.2787969330140387
23	0.1731331150998528	0.2283926884460751	0.030213985983259	0.22551464288068193	0.10185205527605071	0.2817793351934442
24	0.17667574752290352	0.22962299800074698	0.030213985983259	0.22829382428543182	0.10557044620691171	0.2841355976887756
25	0.1801140233319419	0.23060065470044158	0.030213985983259	0.2309576641694312	0.10901970692268823	0.28659621679811936
26	0.1831733198585144	0.231715622734363	0.030213985983259	0.23329195685128634	0.11212294307621329	0.2888591075861766
27	0.18619966166487248	0.23292945492892767	0.030213985983259	0.2357306061471538	0.11541841509765582	0.2907265417316607
28	0.18902827514994397	0.2341268097633851	0.030213985983259	0.23777929125381725	0.11884021354658698	0.29280818155853855
29	0.19190632071533711	0.23508249664960346	0.030213985983259	0.24003668958850538	0.12218511764835116	0.2946866006107608
30	0.19393852846189336	0.23585144012127338	0.030213985983259	0.24203045016147812	0.12514555001428038	0.2966583913702573
31	0.1964211173847134	0.2365270118856691	0.030213985983259	0.2439418239339148	0.1278038974449107	0.2984049915416218
32	0.1989860931080695	0.2370927345826834	0.030213985983259	0.24614429773491223	0.13041830524858844	0.2999923105652833
33	0.20122701408265045	0.23760902519937604	0.030213985983259	0.24810510358767054	0.1330711602258497	0.3013764088142892
34	0.20369861809873235	0.23812531581606872	0.030213985983259	0.24970340751807016	0.13566359821605115	0.3026286881824373
35	0.20609332776764724	0.2388283498473098	0.030213985983259	0.2514390227826966	0.13823406639277633	0.3039798317112288
36	0.20838368082254982	0.2392402838499901	0.030213985983259	0.25314168332710857	0.14052441944767888	0.30514972427884085
37	0.2101961904343432	0.2398060065470044	0.030213985983259	0.25480040424456796	0.1429026517564866	0.3062976470329767
38	0.21211854911351802	0.24043763868444756	0.030213985983259	0.2564536327086583	0.14507766329063868	0.3074126150668981
39	0.21389261155172792	0.24072873871300832	0.030213985983259	0.25811235362611773	0.14712085594393304	0.3083737944064855
40	0.21582046268427182	0.241245029329701	0.030213985983259	0.2596667179295648	0.14925192785113253	0.30947228508029967
41	0.2171825911198014	0.24175582749302457	0.030213985983259	0.2609684293780346	0.15168508469363096	0.31059274556759014
42	0.21908297998549991	0.24221170112265747	0.030213985983259	0.26223718610628993	0.15383812641430675	0.3116363117077136
43	0.22064832919568514	0.24255772568490894	0.030213985983259	0.2636652239822484	0.15579893226706507	0.31255355142034846
44	0.22241689918052596	0.24285981062020784	0.030213985983259	0.2649669354307182	0.15783114001362128	0.31349276094645956
45	0.2241799767119977	0.2431289408352923	0.030213985983259	0.2661423204516994	0.15968758925236726	0.31425621196476045
46	0.22560801458795615	0.24355735219807984	0.030213985983259	0.2673781224597403	0.1615440384911132	0.315074587516752
47	0.2273161675857372	0.2440187182810818	0.030213985983259	0.26858096974756684	0.1635268141573478	0.31570621965419515
48	0.2286728035678977	0.24432629566974975	0.030213985983259	0.2697948019421315	0.1650537161939495	0.3164806555792341
49	0.23030406221851177	0.24457894852472703	0.030213985983259	0.27106905112375596	0.16699804468660062	0.31721664433068963
50	0.23168816046751764	0.2447876617527517	0.030213985983259	0.2722169738778918	0.16866775051079816	0.3179746028956214
51	0.23308873607663072	0.24501285234088363	0.030213985983259	0.27333194191181315	0.17030999406815037	0.318792978447613
52	0.23415427203023045	0.24523804292901552	0.030213985983259	0.2744084627721511	0.17195223762550255	0.31955642946591384
53	0.23549443065228376	0.245584067491267	0.030213985983259	0.27550146099259615	0.1736054660895929	0.32021552387020236
54	0.23655996660588352	0.24582024298613706	0.030213985983259	0.2764626403321836	0.1750554737790276	0.32081420128743104
