purpose,h,arrival,departure
edu_secondary,19,6.22568093385214E-5,3.891050583657588E-5
edu_secondary,20,1.556420233463035E-5,7.782101167315174E-6
home,0,1.0116731517509727E-4,1.0894941634241245E-4
home,1,8.560311284046692E-5,8.560311284046692E-5
home,2,4.669260700389105E-5,3.891050583657588E-5
home,3,3.891050583657588E-5,9.33852140077821E-5
home,4,7.003891050583658E-5,9.33852140077821E-5
home,5,3.5797665369649806E-4,4.357976653696498E-4
home,6,9.727626459143969E-4,0.0012140077821011673
home,7,0.0026070038910505837,0.0029494163424124515
home,8,0.007447470817120622,0.008505836575875487
home,9,0.010739299610894941,0.01154863813229572
home,10,0.01482490272373541,0.016536964980544747
home,11,0.017813229571984435,0.019291828793774318
home,12,0.019268482490272375,0.02084046692607004
home,13,0.02427237354085603,0.02705058365758755
home,14,0.03341634241245136,0.03909727626459144
home,15,0.04880933852140078,0.05362645914396887
home,16,0.05024124513618677,0.04986770428015564
home,17,0.048116731517509725,0.04597665369649805
home,18,0.03992217898832685,0.034295719844357975
home,19,0.02923735408560311,0.0266147859922179
home,20,0.02109727626459144,0.017245136186770427
home,21,0.012793774319066148,0.010295719844357976
home,22,0.006824902723735408,0.004599221789883269
home,23,0.002038910505836576,0.0012295719844357977
home,24,0.0013463035019455254,9.727626459143969E-4
home,25,2.0233463035019454E-4,1.0116731517509727E-4
home,26,7.782101167315174E-6,7.782101167315174E-6
home,28,7.782101167315174E-6,0.0
home,30,7.782101167315174E-6,0.0
home,32,0.0,7.782101167315174E-6
home,33,7.782101167315174E-6,0.0
home,34,7.782101167315174E-6,0.0
leisure,0,7.782101167315174E-6,1.556420233463035E-5
leisure,1,1.556420233463035E-5,7.782101167315174E-6
leisure,2,7.782101167315174E-6,7.782101167315174E-6
leisure,4,0.0,2.3346303501945526E-5
leisure,5,6.22568093385214E-5,5.447470817120623E-5
leisure,6,2.801556420233463E-4,4.747081712062257E-4
leisure,7,4.280155642023346E-4,6.536964980544747E-4
leisure,8,0.0015797665369649805,0.003058365758754864
leisure,9,0.004770428015564202,0.0046459143968871595
leisure,10,0.005221789883268483,0.004832684824902724
leisure,11,0.003782101167315175,0.003782101167315175
leisure,12,0.004186770428015564,0.004389105058365758
leisure,13,0.004996108949416342,0.0054007782101167315
leisure,14,0.0067626459143968875,0.007284046692607004
leisure,15,0.010599221789883269,0.011875486381322957
leisure,16,0.012124513618677044,0.012038910505836576
leisure,17,0.012684824902723735,0.012801556420233463
leisure,18,0.011214007782101167,0.009976653696498054
leisure,19,0.0071828793774319066,0.0056031128404669265
leisure,20,0.0022334630350194554,0.0016186770428015564
leisure,21,9.182879377431907E-4,6.147859922178988E-4
leisure,22,2.801556420233463E-4,2.6459143968871594E-4
leisure,23,1.3229571984435797E-4,6.22568093385214E-5
leisure,24,7.782101167315176E-5,6.22568093385214E-5
other,5,0.0,7.782101167315174E-6
other,6,1.4785992217898833E-4,2.0233463035019454E-4
other,7,3.2684824902723733E-4,5.058365758754864E-4
other,8,6.459143968871596E-4,8.404669260700389E-4
other,9,8.949416342412451E-4,0.0010817120622568094
other,10,0.0012140077821011673,0.0010116731517509727
other,11,9.416342412451362E-4,0.00111284046692607
other,12,8.715953307392996E-4,8.793774319066148E-4
other,13,0.001206225680933852,9.649805447470817E-4
other,14,7.782101167315176E-4,8.793774319066148E-4
other,15,9.805447470817121E-4,9.961089494163423E-4
other,16,0.0010894941634241246,9.805447470817121E-4
other,17,7.782101167315176E-4,6.692607003891051E-4
other,18,4.357976653696498E-4,3.735408560311284E-4
other,19,4.124513618677043E-4,2.801556420233463E-4
other,20,3.891050583657588E-5,4.669260700389105E-5
other,21,4.669260700389105E-5,7.003891050583658E-5
other,22,5.447470817120623E-5,7.782101167315174E-6
other,23,1.556420233463035E-5,0.0
other,25,1.556420233463035E-5,0.0
other,34,7.782101167315174E-6,0.0
other,35,7.782101167315174E-6,0.0
outside_recreation,0,0.0,1.556420233463035E-5
outside_recreation,1,6.22568093385214E-5,5.447470817120623E-5
outside_recreation,2,1.556420233463035E-5,7.782101167315174E-6
outside_recreation,4,2.3346303501945526E-5,7.003891050583658E-5
outside_recreation,5,2.801556420233463E-4,2.490272373540856E-4
outside_recreation,6,6.22568093385214E-4,8.793774319066148E-4
outside_recreation,7,0.0010505836575875485,0.0011750972762645914
outside_recreation,8,0.0015252918287937743,0.0015875486381322957
outside_recreation,9,0.0018910505836575876,0.00222568093385214
outside_recreation,10,0.0021634241245136188,0.002038910505836576
outside_recreation,11,0.0020700389105058367,0.0022101167315175096
outside_recreation,12,0.0030038910505836578,0.0028326848249027236
outside_recreation,13,0.0027392996108949416,0.002754863813229572
outside_recreation,14,0.0026536964980544745,0.0027782101167315174
outside_recreation,15,0.0036186770428015564,0.0037665369649805447
outside_recreation,16,0.003634241245136187,0.003556420233463035
outside_recreation,17,0.0029027237354085603,0.002630350194552529
outside_recreation,18,0.0026926070038910507,0.0023891050583657587
outside_recreation,19,0.00154863813229572,0.00154863813229572
outside_recreation,20,0.0014163424124513618,0.001245136186770428
outside_recreation,21,9.727626459143969E-4,9.727626459143969E-4
outside_recreation,22,4.124513618677043E-4,3.424124513618677E-4
outside_recreation,23,9.33852140077821E-5,7.003891050583658E-5
outside_recreation,24,3.11284046692607E-5,2.3346303501945526E-5
personal_business,5,0.0,7.782101167315174E-6
personal_business,6,7.003891050583658E-5,1.867704280155642E-4
personal_business,7,6.381322957198444E-4,0.0018443579766536965
personal_business,8,0.004653696498054475,0.0054007782101167315
personal_business,9,0.007587548638132296,0.00754863813229572
personal_business,10,0.007470817120622568,0.007455252918287938
personal_business,11,0.00601556420233463,0.005431906614785992
personal_business,12,0.004801556420233463,0.004428015564202335
personal_business,13,0.0042412451361867705,0.004420233463035019
personal_business,14,0.004848249027237354,0.005120622568093385
personal_business,15,0.005470817120622568,0.005587548638132296
personal_business,16,0.00511284046692607,0.004840466926070039
personal_business,17,0.0034319066147859923,0.0024591439688715954
personal_business,18,0.0010428015564202336,7.548638132295719E-4
personal_business,19,3.735408560311284E-4,3.190661478599222E-4
personal_business,20,1.4007782101167315E-4,1.3229571984435797E-4
personal_business,21,1.0116731517509727E-4,9.33852140077821E-5
personal_business,22,3.891050583657588E-5,7.782101167315174E-6
personal_business,23,1.556420233463035E-5,1.556420233463035E-5
shop_daily,1,1.556420233463035E-5,1.556420233463035E-5
shop_daily,5,1.556420233463035E-5,2.3346303501945526E-5
shop_daily,6,2.1011673151750973E-4,2.6459143968871594E-4
shop_daily,7,0.0010428015564202336,0.001424124513618677
shop_daily,8,0.004404669260700389,0.004793774319066148
shop_daily,9,0.0071284046692607,0.007898832684824903
shop_daily,10,0.008536964980544747,0.008280155642023347
shop_daily,11,0.006856031128404669,0.006832684824902724
shop_daily,12,0.0062256809338521405,0.006070038910505836
shop_daily,13,0.006443579766536965,0.006466926070038911
shop_daily,14,0.0057042801556420235,0.005984435797665369
shop_daily,15,0.00782101167315175,0.008155642023346303
shop_daily,16,0.007914396887159532,0.007945525291828794
shop_daily,17,0.0077198443579766535,0.007003891050583658
shop_daily,18,0.004910505836575875,0.004404669260700389
shop_daily,19,0.0026536964980544745,0.0022879377431906617
shop_daily,20,7.315175097276264E-4,5.758754863813229E-4
shop_daily,21,1.6342412451361867E-4,7.003891050583658E-5
shop_daily,22,7.782101167315176E-5,7.782101167315176E-5
shop_other,5,1.556420233463035E-5,2.3346303501945526E-5
shop_other,6,5.447470817120623E-5,8.560311284046692E-5
shop_other,7,3.501945525291829E-4,6.147859922178988E-4
shop_other,8,8.560311284046692E-4,7.859922178988327E-4
shop_other,9,0.0016964980544747082,0.0023268482490272375
shop_other,10,0.003642023346303502,0.0038443579766536964
shop_other,11,0.0037587548638132297,0.00377431906614786
shop_other,12,0.0038521400778210118,0.0036575875486381322
shop_other,13,0.0035486381322957197,0.0037509727626459143
shop_other,14,0.004280155642023347,0.0042412451361867705
shop_other,15,0.0040233463035019455,0.003914396887159533
shop_other,16,0.003875486381322957,0.003813229571984436
shop_other,17,0.0028326848249027236,0.0025214007782101166
shop_other,18,0.001595330739299611,0.001284046692607004
shop_other,19,8.560311284046692E-4,6.614785992217899E-4
shop_other,20,1.4785992217898833E-4,1.3229571984435797E-4
shop_other,21,2.256809338521401E-4,1.945525291828794E-4
shop_other,22,4.669260700389105E-5,3.11284046692607E-5
shop_other,23,7.782101167315174E-6,7.782101167315174E-6
transport,3,7.782101167315174E-6,1.556420233463035E-5
transport,4,7.782101167315174E-6,0.0
transport,5,6.22568093385214E-5,1.0116731517509727E-4
transport,6,3.190661478599222E-4,6.536964980544747E-4
transport,7,0.004155642023346303,0.006575875486381323
transport,8,0.011105058365758754,0.010108949416342413
transport,9,0.004996108949416342,0.0038443579766536964
transport,10,0.001330739299610895,9.649805447470817E-4
transport,11,9.027237354085604E-4,0.00111284046692607
transport,12,0.0012918287937743191,0.0014396887159533074
transport,13,0.001953307392996109,0.002747081712062257
transport,14,0.006085603112840467,0.007844357976653697
transport,15,0.011229571984435797,0.010638132295719844
transport,16,0.005992217898832685,0.004513618677042802
transport,17,0.0026848249027237353,0.002132295719844358
transport,18,0.001377431906614786,0.001237354085603113
transport,19,8.793774319066148E-4,8.171206225680934E-4
transport,20,4.4357976653696497E-4,2.3346303501945524E-4
transport,21,2.801556420233463E-4,1.7898832684824903E-4
transport,22,1.0894941634241245E-4,1.0116731517509727E-4
transport,23,6.22568093385214E-5,3.11284046692607E-5
transport,24,7.782101167315174E-6,0.0
transport,26,7.782101167315174E-6,0.0
transport,30,7.782101167315174E-6,7.782101167315174E-6
work,1,7.782101167315174E-6,3.891050583657588E-5
work,2,3.11284046692607E-5,7.782101167315176E-5
work,3,4.669260700389105E-5,1.0894941634241245E-4
work,4,1.556420233463035E-4,7.315175097276264E-4
work,5,0.001821011673151751,0.0055019455252918285
work,6,0.007914396887159532,0.01217898832684825
work,7,0.0173852140077821,0.026101167315175096
work,8,0.03178988326848249,0.030365758754863813
work,9,0.0274863813229572,0.017797665369649805
work,10,0.010171206225680934,0.006443579766536965
work,11,0.005050583657587549,0.004202334630350194
work,12,0.006988326848249027,0.007330739299610895
work,13,0.008,0.007369649805447471
work,14,0.004217898832684825,0.0037976653696498055
work,15,0.0024202334630350195,0.0020233463035019454
work,16,0.001198443579766537,8.871595330739299E-4
work,17,9.494163424124514E-4,8.871595330739299E-4
work,18,5.914396887159533E-4,5.836575875486381E-4
work,19,4.357976653696498E-4,3.190661478599222E-4
work,20,1.0116731517509727E-4,3.11284046692607E-5
work,21,8.560311284046692E-5,3.035019455252918E-4
work,22,1.945525291828794E-4,8.560311284046692E-5
work,23,1.0894941634241245E-4,1.556420233463035E-5
work,24,2.3346303501945526E-5,1.556420233463035E-5
work,25,2.3346303501945526E-5,0.0
work,26,0.0,7.782101167315174E-6
work,27,0.0,1.556420233463035E-5
work,28,7.782101167315174E-6,0.0
work,30,7.782101167315174E-6,0.0
work,31,7.782101167315174E-6,0.0
work_business,2,0.0,1.556420233463035E-5
work_business,3,1.556420233463035E-5,2.3346303501945526E-5
work_business,4,0.0,7.782101167315176E-5
work_business,5,9.33852140077821E-5,1.4785992217898833E-4
work_business,6,2.6459143968871594E-4,4.4357976653696497E-4
work_business,7,8.326848249027237E-4,0.0019377431906614786
work_business,8,0.002669260700389105,0.0027782101167315174
work_business,9,0.0027081712062256807,0.002319066147859922
work_business,10,0.0022334630350194554,0.0018365758754863813
work_business,11,0.0018365758754863813,0.001906614785992218
work_business,12,0.002,0.001867704280155642
work_business,13,0.002101167315175097,0.0020700389105058367
work_business,14,0.0018832684824902724,0.0018054474708171207
work_business,15,0.0013463035019455254,0.001330739299610895
work_business,16,0.001284046692607004,0.0011361867704280156
work_business,17,8.249027237354086E-4,6.147859922178988E-4
work_business,18,5.836575875486381E-4,4.747081712062257E-4
work_business,19,2.0233463035019454E-4,1.245136186770428E-4
work_business,20,6.22568093385214E-5,3.11284046692607E-5
work_business,21,1.556420233463035E-5,2.3346303501945526E-5
work_business,22,1.556420233463035E-5,1.556420233463035E-5
work_business,23,1.556420233463035E-5,7.782101167315174E-6
