True/Pred,bike,car,pt,ride,walk
bike,0.3131829131429555,0.013084681708139268,0.35225836065103866,0.06898064356642261,0.25249340093144396
car,0.18981090644228812,0.09835317768475722,0.44934258723742254,0.21997477361017256,0.042518555025359506
pt,0.2663947151396565,0.0021797488178502376,0.5705643329920975,0.13561446516951844,0.02524673788087744
ride,0.32282433402318084,0.05421114221998876,0.3262502249175543,0.21467345389140324,0.08204084494787292
walk,0.12825770104865247,0.011394334405885836,0.17177634834007074,0.04382403211110206,0.6447475840942889
