age,dist_group,main_mode,ref_share,sim_share
35 - 66,5000 - 10000,pt,0.07403986112593336,0.0973794333539137
35 - 66,5000 - 10000,ride,0.007014452717553144,0.04083487686080812
35 - 66,5000 - 10000,walk,0.001690553676042388,3.0870549495781024E-4
35 - 66,10000 - 20000,bike,0.010619744339555917,0.004579131508540852
35 - 66,10000 - 20000,car,0.06001064856690113,0.013411538725389312
35 - 66,10000 - 20000,pt,0.07015337993949033,0.11116827879536256
35 - 66,10000 - 20000,ride,0.005030049561820384,0.025691157302599986
35 - 66,10000 - 20000,walk,4.717166408375983E-4,3.0870549495781024E-4
35 - 66,20000+,bike,8.989376281988116E-4,1.0290183165260341E-4
35 - 66,20000+,car,0.03165819643378093,0.007751937984496125
35 - 66,20000+,pt,0.026532505566443435,0.03961720518625232
35 - 66,20000+,ride,0.002739991681456011,0.005831103793647527
35 - 66,20000+,walk,2.3899298775612214E-4,3.4300610550867805E-5
66+,0 - 1000,bike,0.028917781379748875,0.012596607447555952
66+,0 - 1000,car,0.01756905891685044,0.004115226337448558
66+,0 - 1000,pt,0.008273204993617672,0.008581752484191506
66+,0 - 1000,ride,0.004628191849485549,0.0018568704205560566
66+,0 - 1000,walk,0.2851630822571291,0.3419652715045668
66+,1000 - 2000,bike,0.02854964969272559,0.054702398875840594
66+,1000 - 2000,car,0.03882086040651397,0.007025996185887783
66+,1000 - 2000,pt,0.0331697357735842,0.03919502157984542
66+,1000 - 2000,ride,0.011117551434265606,0.010589179965873729
66+,1000 - 2000,walk,0.06845936405951983,0.041704305931948196
66+,2000 - 5000,bike,0.022205536519422444,0.08882866606443839
66+,2000 - 5000,car,0.08261732385978052,0.016661648097962455
66+,2000 - 5000,pt,0.0650551591678631,0.085767339154873
66+,2000 - 5000,ride,0.023067556374726784,0.022483187794840903
66+,2000 - 5000,walk,0.01871777257889785,0.0011542708019672786
66+,5000 - 10000,bike,0.0060053800450549635,0.03392552444042957
66+,5000 - 10000,car,0.0627074379519613,0.013499949814312953
66+,5000 - 10000,pt,0.05292597833638581,0.06980829067549933
66+,5000 - 10000,ride,0.0172732713428096,0.02273411623005118
66+,5000 - 10000,walk,0.0020729972598010397,1.5055706112616677E-4
66+,10000 - 20000,bike,0.0020118745335472974,0.004115226337448558
66+,10000 - 20000,car,0.03570337079193992,0.010739737026999895
66+,10000 - 20000,pt,0.03652161682334497,0.06945699086620494
66+,10000 - 20000,ride,0.011929475838790412,0.01184382214192512
66+,10000 - 20000,walk,9.657233478543096E-4,
66+,20000+,bike,2.5574980638623377E-4,5.0185687042055586E-5
66+,20000+,car,0.01651491485906698,0.005972096758004615
66+,20000+,pt,0.012176960792435333,0.018267590083308232
66+,20000+,ride,0.006529537524723665,0.0022081702298504457
66+,20000+,walk,7.388148176658781E-5,
