link_id,name,road_type,hour,observed_traffic_volume,simulated_traffic_volume,geh
1117976084,10012_Mariendorfer Damm_Süd,primary,15,86.2523157894737,200.0,9.507866103126469
1117976084,10012_Mariendorfer Damm_Süd,primary,16,65.8341578947368,500.0,25.812262302224354
1117976084,10012_Mariendorfer Damm_Süd,primary,17,45.5381578947368,300.0,19.359300353311124
1117976084,10012_Mariendorfer Damm_Süd,primary,18,36.0285263157895,100.0,7.756867209447871
1117976084,10012_Mariendorfer Damm_Süd,primary,19,27.2224210526316,200.0,16.209767678771666
1117976084,10012_Mariendorfer Damm_Süd,primary,20,20.3488421052632,100.0,10.268006461095768
1117976084,10012_Mariendorfer Damm_Süd,primary,21,13.693842105263201,0.0,5.233324393779388
1117976084,10012_Mariendorfer Damm_Süd,primary,22,11.343789473684199,200.0,18.352336319606035
1117976084,10012_Mariendorfer Damm_Süd,primary,23,9.360894736842098,100.0,12.257434472875381
156350680#11,10013_Lichtenrader Damm_Nord,primary,23,9.79637967914436,0.0,4.42637090157261
156350680#11,10013_Lichtenrader Damm_Nord,primary,22,9.28516042780749,0.0,4.30932951346436
156350680#11,10013_Lichtenrader Damm_Nord,primary,21,14.12306951871654,0.0,5.314709685150552
156350680#11,10013_Lichtenrader Damm_Nord,primary,20,18.36231016042782,100.0,10.612042680641968
156350680#11,10013_Lichtenrader Damm_Nord,primary,19,21.79756684491975,100.0,10.02111295303263
156350680#11,10013_Lichtenrader Damm_Nord,primary,18,26.65323529411761,100.0,9.216962400458206
156350680#11,10013_Lichtenrader Damm_Nord,primary,17,32.34354545454543,200.0,15.554998356691382
156350680#11,10013_Lichtenrader Damm_Nord,primary,16,41.76293582887704,0.0,9.1392489657386
156350680#11,10013_Lichtenrader Damm_Nord,primary,15,48.42558288770049,200.0,13.600120173188834
156350680#11,10013_Lichtenrader Damm_Nord,primary,14,57.626711229946494,200.0,12.544347328525019
156350680#11,10013_Lichtenrader Damm_Nord,primary,13,62.033486631016046,200.0,12.053419982738786
156350680#11,10013_Lichtenrader Damm_Nord,primary,12,59.49972192513366,100.0,4.535164430490491
156350680#11,10013_Lichtenrader Damm_Nord,primary,11,58.65675401069523,100.0,4.641841285720133
156350680#11,10013_Lichtenrader Damm_Nord,primary,10,62.46158823529416,0.0,11.176903706778024
156350680#11,10013_Lichtenrader Damm_Nord,primary,9,67.20348128342246,600.0,29.17072509569127
156350680#11,10013_Lichtenrader Damm_Nord,primary,8,72.684,200.0,10.90355592298709
156350680#11,10013_Lichtenrader Damm_Nord,primary,7,77.15767379679144,200.0,10.435171136816791
156350680#11,10013_Lichtenrader Damm_Nord,primary,6,74.1223155080214,100.0,2.773404362999161
156350680#11,10013_Lichtenrader Damm_Nord,primary,5,35.54201069518716,100.0,7.829874299097502
156350680#11,10013_Lichtenrader Damm_Nord,primary,4,14.79075401069523,100.0,11.247299651895638
156350680#11,10013_Lichtenrader Damm_Nord,primary,3,8.265513368983958,100.0,12.468165630767627
156350680#11,10013_Lichtenrader Damm_Nord,primary,2,6.910604278074864,100.0,12.732240013506734
156350680#11,10013_Lichtenrader Damm_Nord,primary,1,5.581925133689843,0.0,3.341234841698453
156350680#11,10013_Lichtenrader Damm_Nord,primary,0,14.915213903743288,100.0,11.224787921899104
1101002048#3,10014_Mariendorfer Damm_Nord,primary,23,14.66941666666671,0.0,5.416533331692275
1101002048#3,10014_Mariendorfer Damm_Nord,primary,22,15.77421354166671,0.0,5.616798650773714
1101002048#3,10014_Mariendorfer Damm_Nord,primary,21,17.19094270833329,300.0,22.456802685947206
1101002048#3,10014_Mariendorfer Damm_Nord,primary,20,23.09680208333329,100.0,9.802481069522184
1101002048#3,10014_Mariendorfer Damm_Nord,primary,19,31.213473958333292,300.0,20.886635807080275
1101002048#3,10014_Mariendorfer Damm_Nord,primary,18,40.943973958333295,0.0,9.049195981780182
1101002048#3,10014_Mariendorfer Damm_Nord,primary,17,51.527598958333286,200.0,13.239387911817307
1101002048#3,10014_Mariendorfer Damm_Nord,primary,16,63.759921874999996,200.0,11.863572238759772
1101002048#3,10014_Mariendorfer Damm_Nord,primary,15,73.10624479166671,300.0,16.611975495066517
1101002048#3,10014_Mariendorfer Damm_Nord,primary,14,91.107046875,200.0,9.025856289369168
1101002048#3,10014_Mariendorfer Damm_Nord,primary,13,94.18405208333328,300.0,14.660355330163538
1101002048#3,10014_Mariendorfer Damm_Nord,primary,12,92.1945104166667,100.0,0.7962412206836349
1101002048#3,10014_Mariendorfer Damm_Nord,primary,11,94.93392187500001,300.0,14.593067943043625
1101002048#3,10014_Mariendorfer Damm_Nord,primary,10,100.73422395833329,200.0,8.095116680071474
1101002048#3,10014_Mariendorfer Damm_Nord,primary,9,108.82130729166671,500.0,22.420498636108995
1101002048#3,10014_Mariendorfer Damm_Nord,primary,8,103.360359375,200.0,7.846769386012214
1101002048#3,10014_Mariendorfer Damm_Nord,primary,7,105.74761979166671,300.0,13.638083854692047
1101002048#3,10014_Mariendorfer Damm_Nord,primary,6,85.73005729166671,0.0,13.094277932873329
