Iteration;bike;car;freight;pt;ride;walk
158;114680;628744;235459;465755;143486;100127
159;111821;630820;235107;466720;143796;100634
160;113376;629489;235057;465176;146095;99403
161;114251;631282;235853;460663;144814;101921
162;112803;630375;235374;464464;145437;100437
163;114759;628398;235222;463863;145880;101091
164;112386;628739;235983;466082;146408;99703
165;115028;628418;235496;464392;144418;99516
166;113404;630616;235433;464799;142389;100350
167;115077;631435;235068;464386;144809;98942
168;113674;627236;236258;469101;143526;99950
169;112714;628432;235617;465376;144627;100446
170;112818;628837;235804;465697;145707;99411
171;114042;626218;235680;469249;145424;100370
172;113675;623651;235832;468804;147137;99983
173;112431;625543;235535;468999;145873;100505
174;112357;627552;235353;467055;146113;99963
175;113299;628790;234865;466299;143635;100334
176;113480;623588;235044;471044;144413;98655
177;112309;626052;235083;468088;144897;101586
178;113364;624576;235106;468050;145393;100448
179;112450;628878;235623;468818;144681;97762
180;111079;629117;235814;468856;144220;100447
181;110985;627802;235538;470909;143801;99239
182;111117;629197;235937;467372;146677;98803
183;111769;627749;235323;468593;144786;99932
184;111595;629314;234617;467010;145935;99776
185;111891;626668;235404;467273;146545;99152
186;112748;627549;235638;467145;147777;97796
187;111103;628592;235138;469969;146128;99118
188;111577;627006;235326;467870;146438;99197
189;111422;626418;235227;467768;147406;98690
190;112730;628459;235101;465544;148090;97607
191;109432;625135;234297;470081;147066;99639
192;113632;624557;234662;465481;149096;98602
193;109972;628899;235288;468637;145612;99171
194;111358;629742;235124;467637;145720;98015
195;111955;627903;235031;468109;147302;98239
196;112437;625199;235184;467913;145605;100147
197;111626;625143;235806;471456;143207;100263
198;110635;629427;235453;469257;145560;97899
199;111637;625775;234572;470358;147004;98263
200;110976;627677;235518;467869;146387;97888
201;110984;626801;235409;469792;147414;97643
202;111356;627071;234955;466676;148119;98393
203;113967;625993;235486;468986;145964;97822
204;110566;624802;235100;471128;146742;98240
205;110953;626113;234893;472623;147393;97048
206;109815;627809;235328;470786;145594;98669
207;110914;625138;235539;470263;148757;97757
208;112357;623890;235588;471368;147205;96505
209;111229;624375;235526;471166;147093;98120
210;112175;624572;235592;469493;146141;98637
211;112343;625389;235918;469475;146572;96958
212;110792;623793;235082;472451;146387;97923
213;112525;624919;234892;469298;147077;96911
214;110639;623319;235828;472232;147145;97995
215;109633;623208;235746;471392;147776;98459
216;111046;625380;236327;471083;147076;96946
217;110610;625647;236051;470202;148856;97704
218;110762;624743;234921;471107;146925;97441
219;111123;624730;235408;472919;146595;96335
220;111091;625431;235222;470928;147182;96142
221;110750;625976;235245;471844;146568;97350
222;110698;622126;234599;471393;149860;96995
223;109962;623150;234534;473164;148586;97541
224;110918;623795;234839;472008;148700;95598
225;110943;623648;233984;470880;149105;97089
226;110262;626354;234480;470146;148300;95352
227;112526;626683;234060;471559;145321;96044
228;110710;624962;235065;473393;145285;97696
229;112100;623056;234364;472647;147221;96523
230;109490;625097;235201;471724;146950;96957
231;110054;625546;235131;472839;146575;96718
232;109828;626360;235095;473317;146748;95758
233;110008;623615;234828;475557;146646;96457
234;110312;623949;234599;473686;146493;96346
235;109453;623860;234636;474025;147999;97076
236;110586;621566;235349;474021;147263;97713
237;111135;622469;235236;473682;148075;96015
238;111687;618142;235159;473264;150229;97269
239;110390;624974;235425;473441;145460;96413
240;110646;622420;234626;473261;147919;96486
241;110910;624986;235054;473320;147939;95323
242;112184;622132;234952;473682;149538;95382
243;112701;618376;234567;475327;148037;96407
244;111207;621875;234468;475200;147881;95899
245;110176;622879;234092;475193;147274;95754
246;110715;619130;234236;475890;148050;96601
247;110123;620762;234260;475032;148578;96140
248;108154;623326;234567;476197;148349;95096
249;110842;620100;233741;475550;149474;95181
250;111287;621141;234619;473853;150678;94574
251;109794;621884;234689;475085;148247;95216
252;108400;620346;234977;477125;149349;94833
253;109504;622168;234567;474942;148726;94620
254;108101;622331;234014;476923;148614;94491
255;111193;622025;234732;476564;146481;94539
256;108011;621786;234150;474330;148978;96247
257;108809;623944;233894;475523;148890;94356
258;109129;623337;234007;476540;147408;95414
259;109235;622015;234005;478289;147300;94554
260;109712;620537;235556;476853;147633;95538
261;108011;623060;234336;476698;148741;94830
262;108673;620159;234231;479465;147231;95188
263;109824;621877;234463;478146;148985;93165
264;109303;619797;234611;475459;149719;96207
265;109260;621468;234143;476040;148705;95104
266;109564;618864;233747;478124;148170;94730
267;108626;621320;233759;479199;148152;93768
268;110365;622765;234556;475710;149099;93287
269;109330;621257;233905;477100;148750;93965
270;108205;623508;234392;477474;148076;94033
271;108818;619654;234706;481181;145897;95328
272;108815;622496;233697;476592;146718;94894
273;108332;624671;233485;477145;147780;93346
274;109261;619451;233818;477254;148875;94701
275;109124;618173;235039;480215;148683;93427
276;107228;621527;234545;479298;148429;94501
277;109070;622103;234194;475529;148520;94380
278;109394;618360;233304;481018;146907;93633
279;108338;622225;234200;474622;149826;94086
280;110031;619001;234499;479156;148716;93432
281;108896;622123;234871;477817;147190;93585
282;109292;622179;233919;477251;148011;94219
283;108439;619830;234540;479201;148885;93438
284;109486;620400;234414;478801;147770;93734
285;108308;622704;235060;478418;147783;93066
286;109163;620150;233591;478617;148139;93345
287;108603;619826;233555;477332;150713;93373
288;109771;620853;233635;476195;149458;93212
289;109069;621668;234036;476997;148455;93368
290;109020;620714;234331;479319;148623;92402
291;109279;619249;234223;478945;149632;93994
292;107715;620050;233916;481294;148861;93254
293;109257;619689;233887;480386;149065;91978
294;108632;620074;234507;479289;150319;92784
295;109321;620196;234328;479480;147923;93323
296;109537;619035;233889;478457;149726;93144
297;108119;619179;234209;480542;149482;92994
298;109633;618883;233446;478876;149419;93484
299;109396;619835;234415;478181;148891;92586
300;109057;616928;234309;480988;149169;93402
301;107640;618905;233762;481505;147891;92501
302;109363;616695;233599;481818;148603;92638
303;109520;618078;234263;480427;149785;92358
304;108694;620159;234008;479184;149023;93043
305;108659;620122;233575;477713;151532;92476
306;108067;620125;234184;477548;149765;92603
307;109986;619315;234242;479212;149639;92286
308;107386;618794;234248;482805;149018;91972
309;108168;621467;234336;478937;148860;92601
310;109199;618276;233612;481599;148637;92185
311;109204;620353;233623;480389;149285;90926
312;107899;618722;233675;480842;150993;92024
313;107991;618861;233975;482222;149487;91952
314;108446;619533;233499;479795;150463;92169
315;107817;618655;234460;481385;149368;92378
316;108625;615876;234185;480704;150874;92368
317;109848;616410;234318;479713;150210;92362
318;108263;619434;233947;481064;148279;92882
319;108370;618156;233930;479438;149919;92732
320;108231;618814;234410;479394;149598;92316
321;107991;618559;233897;481076;149883;92211
322;108844;616125;234245;481147;151231;91121
323;109742;615550;234093;481028;149507;91968
324;108368;616763;233582;483112;150399;91199
325;108341;615750;234672;481033;151062;91996
326;108825;618148;233596;482413;148216;91467
327;108035;617095;234208;482172;149862;91239
328;108581;617903;233602;481404;149347;91531
329;109130;616453;234645;483602;149272;91130
330;108332;619237;233026;481538;149570;91188
331;108178;618706;233968;482397;147915;91842
332;107649;617271;234082;482150;151394;91145
333;107924;619014;234175;481272;148353;91921
334;108315;617412;234545;481781;151012;91357
335;107714;619707;234296;480720;150348;89907
336;108027;618715;233842;482224;149362;91585
337;107289;619079;234093;483958;149454;90519
338;107393;619883;233682;481346;149592;89984
339;108090;617468;233733;481813;150081;90778
340;108403;617834;233728;483523;148814;90698
341;108316;619315;233967;480781;150232;89845
342;108080;617991;234442;482178;150721;89761
343;107224;618038;233974;483768;149619;90797
344;108044;618354;233290;482532;149678;90546
345;107921;617440;233936;481922;151018;90940
346;106736;617766;234250;483460;150706;90121
347;108614;618228;233425;483527;148562;90488
348;107797;617420;233248;483783;149272;90876
349;107858;616429;234428;483306;149393;90419
350;107658;617989;233292;482760;150875;89798
351;108307;617050;233568;481585;149603;90606
352;108679;615029;233728;483140;150700;89853
353;108477;615191;233141;484319;149538;90935
354;108152;619325;233999;481623;148995;90279
355;107383;617862;234216;483571;148963;90705
356;107171;617331;233854;484188;149384;91023
357;107944;616502;233447;483030;150377;90085
358;108004;618998;233924;482002;149330;90257
359;108074;618012;232908;481803;150112;89813
360;107433;617340;234007;484443;148831;90225
361;106768;615838;233873;484300;150456;90127
362;107038;616886;233712;484349;150798;89603
363;107689;617225;233587;484715;150373;89661
364;107129;617652;233577;484033;151747;89097
365;107180;616659;233784;482108;151396;90313
366;108278;614665;233685;483126;151321;89953
367;107600;615105;234356;483762;152119;89593
368;106763;616135;234010;483579;151156;89947
369;106342;615531;233674;485162;152363;88930
370;106618;613734;233899;486554;151500;89457
371;106533;614990;233325;485515;150709;89804
372;107082;616390;233560;485166;150948;89477
373;106906;611796;233364;486509;153428;89559
374;106759;615317;233739;484928;152505;88968
375;106898;613917;234189;485404;152544;89675
376;106670;615106;233462;484930;152944;89243
377;107076;614910;234123;485171;150990;89365
378;106814;613305;234008;485460;150984;90038
379;106550;616066;234012;482816;151464;89527
380;107349;615452;234090;485230;151756;88873
381;106516;617631;234006;484538;150313;88577
382;107177;616965;233389;483036;150786;90158
383;107897;616767;234148;483823;149595;89284
384;107329;617458;233393;483804;149845;89220
385;106382;618227;233903;484047;150864;88554
386;107252;616698;233705;483713;150764;89702
387;107267;616276;233319;483910;151255;89217
388;106842;616612;233136;485253;150745;89134
389;107140;616566;232996;485862;151221;88569
390;106552;617931;234442;485516;151009;88546
391;106025;616532;233405;486161;150531;89058
392;106975;616467;232785;484742;151227;89250
393;107303;617729;233173;485321;149873;88585
394;107793;614846;233325;485244;151043;88612
395;107558;617658;233342;483354;150481;88255
396;107425;616641;233902;485688;150309;88420
397;107282;617027;233836;486922;149695;88991
398;107138;615756;233684;485531;150220;88973
399;105705;616723;233666;485670;150497;89272
400;106725;616651;233765;485665;150812;88764
401;106755;615952;234278;485605;150511;89108
402;105822;616682;234201;485399;151024;88843
403;106758;617341;233896;484471;151384;88650
404;106232;617225;233437;484816;151465;88223
405;106672;617338;233063;485215;150832;88703
406;106630;618752;233500;485640;149664;87822
407;106756;617977;232996;485266;149432;87870
408;105992;616507;233442;486622;150856;87938
409;107182;614568;233145;486255;151395;89036
410;106633;614419;233819;486543;151676;88862
411;106796;615218;233488;487566;150360;88268
412;106949;615623;233723;486275;150432;88174
413;106828;616443;233668;487524;150510;87848
414;106327;615448;233257;486456;151241;88682
415;106199;615315;233506;488256;150749;88429
416;107374;616405;233817;485370;150188;88251
417;106430;615494;233178;487197;151495;88120
418;106399;615225;233969;486343;151485;88152
419;106678;615082;233164;487436;151043;87327
420;105729;616173;233150;486740;151044;87798
421;107554;613060;233830;486009;153631;88117
422;106639;615086;233965;487946;150595;87785
423;107467;614510;234008;487672;150613;87778
424;106568;614697;232845;486481;150648;88567
425;106351;615991;233572;487979;150927;87165
426;106566;615815;232923;486844;150227;87757
427;106869;614797;233491;488769;149721;87633
428;106754;615018;233501;488053;149975;87637
429;106480;615201;233646;488023;150081;87901
430;107094;614785;233431;487398;151063;87250
431;105443;614609;233397;488889;151066;88104
432;106467;613646;233403;488061;150336;88956
433;106368;613870;233678;487777;150670;88365
434;106870;614360;233785;488736;151455;86994
435;106356;613955;233758;487478;152707;87317
436;107669;614715;234379;487091;151175;87589
437;106708;614391;234325;489524;150243;87744
438;106793;614812;233627;489039;149908;86914
439;106878;615445;233414;487259;149868;88084
440;106230;615475;232374;488571;149998;87587
441;107012;614866;233539;487905;151129;87246
442;106792;614360;234267;487611;151719;87273
443;107408;614384;233572;487292;151221;87503
444;105992;616578;233675;488189;149847;87986
445;106613;615637;232749;488490;149727;87113
446;106727;614110;233473;488660;150182;87680
447;106282;614743;233408;488766;150518;87322
448;106586;615763;233008;487429;149760;87595
449;106766;615140;234447;487656;150941;87142
450;106800;615973;233753;487911;149213;88174
451;106020;614038;229837;492374;147899;84721
452;105931;614225;229768;492160;148080;84709
453;105878;614045;229786;492022;148127;84699
454;105847;614063;230003;491986;148109;84700
455;105902;614079;229878;492008;147914;84701
456;105896;614412;229887;491748;147741;84687
457;105914;614211;229861;491836;147755;84689
458;105819;614055;230166;491892;147838;84689
459;105802;613983;229823;491973;147812;84692
460;105785;613929;229811;491835;147906;84665
461;105754;614178;229800;491666;147932;84653
462;105690;614216;229770;491626;148000;84650
463;105676;614156;229801;491703;147964;84647
464;105603;613905;229784;491924;147930;84656
465;105637;614005;229741;491871;147829;84652
466;105712;614180;229746;491452;147868;84620
467;105656;614158;229745;491515;147735;84627
468;105626;614235;229744;491562;147745;84638
469;105658;614288;229738;491431;147760;84619
470;105692;614392;229731;491256;147800;84593
471;105706;614172;229732;491262;147921;84592
472;105748;614155;229726;491201;147993;84577
473;105738;614224;229730;491097;147976;84575
474;105724;614211;229716;491109;148020;84569
475;105748;614197;229730;491102;148036;84561
476;105784;614138;229704;491097;148031;84565
477;105831;614126;229643;490974;148096;84553
478;105831;614157;229639;490901;148132;84548
479;105879;614401;229648;490579;148057;84528
480;105804;614184;229651;490605;148288;84528
481;105815;614380;229659;490395;148300;84511
482;105731;614504;229627;490447;148205;84524
483;105717;614500;229615;490352;148283;84530
484;105690;614587;229591;490319;148200;84519
485;105610;614707;229612;490302;148151;84515
486;105558;614650;229626;490239;148226;84508
487;105498;614525;229622;490275;148355;84510
488;105492;614573;229634;490249;148334;84510
489;105474;614531;229649;490307;148301;84512
490;105442;614583;229626;490310;148239;84512
491;105411;614616;229646;490371;148210;84508
492;105398;614641;229645;490220;148283;84504
493;105341;614738;229601;490101;148290;84496
494;105333;614780;229595;490338;148049;84514
495;105391;614849;229588;490332;147876;84510
496;105378;614832;229588;490357;147886;84497
497;105368;615070;229589;490085;147895;84492
498;105368;615086;229576;490023;147912;84489
499;105352;614992;229584;490061;147915;84485
500;105401;614853;229570;490024;147950;84482
