ITERATION;avg. Average Leg distance;avg. Average Trip distance
168;3845.9863251080583;9309.126205319972
169;3840.638937718273;9300.950997225767
170;3839.6123106942264;9304.02729790785
171;3844.1656697229573;9309.001963941419
172;3842.560688657703;9305.221337818588
173;3843.0770060767686;9299.73432075251
174;3840.6764520904812;9297.2297244153
175;3842.0352456521946;9287.083648139645
176;3835.317000086353;9291.13268690064
177;3841.4079558681724;9296.997128813286
178;3838.8324223435156;9294.597285926975
179;3836.279344807034;9301.592778036204
180;3839.8454210885147;9304.407373207965
181;3837.446783687095;9297.19250123962
182;3839.6036211154183;9304.252956569353
183;3842.1925617465704;9305.074595635144
184;3840.301788072309;9299.567634294312
185;3835.5943970382996;9295.256075976005
186;3837.6308500980094;9300.577703845189
187;3842.144346631313;9301.843556559927
188;3839.920070693212;9297.454668859224
189;3834.9890667525474;9296.723143049103
190;3841.1570364796175;9298.8013649855
191;3833.1235290610157;9290.814105834232
192;3836.981205488053;9287.665540741007
193;3834.3867927167153;9290.93512969953
194;3838.859285443662;9296.086425567308
195;3841.6925544160645;9300.753527956851
196;3842.0099311546887;9289.268763228672
197;3835.817197363017;9298.495074381433
198;3838.495002168611;9298.350219163365
199;3835.9812869242564;9292.551208245372
200;3832.559176483591;9287.918306289155
201;3836.767072470465;9296.502887253908
202;3839.42217287723;9289.734452765588
203;3838.6815731952192;9301.915783803202
204;3832.9220473622413;9292.49299849156
205;3836.0626269102245;9299.369055738955
206;3835.0684515672424;9299.241776356876
207;3836.107176692831;9299.48552021807
208;3831.306561570643;9294.709207906431
209;3836.5901868398614;9293.570368378943
210;3839.3400425159994;9289.73912491314
211;3837.8769409411075;9296.305065352664
212;3832.6270654966593;9291.538578123791
213;3829.9940350449133;9287.998511797256
214;3836.3433046037962;9294.630894002723
215;3828.2236392902514;9290.620733040729
216;3832.8175509413572;9296.928756919773
217;3839.6857335927007;9299.723915394803
218;3831.154644021195;9284.815341849544
219;3829.5092501963522;9293.574688798451
220;3829.6415279851917;9289.109650897299
221;3834.2412697363247;9295.39472898123
222;3829.8700448054615;9285.409414273909
223;3834.9614976266826;9296.728189404808
224;3828.7553995492362;9285.976300005914
225;3831.3247438296057;9285.744437231766
226;3829.426723826028;9285.09080503554
227;3831.8978845716433;9285.532998668066
228;3830.2078582481868;9291.272588134732
229;3828.7795438632934;9285.957914965527
230;3828.965014333657;9282.251813575358
231;3833.57974766649;9295.379494757253
232;3831.6047843231263;9295.664529962387
233;3828.185203937159;9294.463654283434
234;3824.7036038091364;9286.558458676529
235;3829.3545723400525;9290.498938213328
236;3832.0593694859162;9291.970961848197
237;3833.113314121769;9290.926927875731
238;3829.0965113117995;9288.032328071173
239;3830.627124514286;9290.495017004076
240;3829.045017419017;9285.358579309659
241;3833.6544985131222;9295.068967363366
242;3836.0512649028783;9294.471394874787
243;3833.152605855446;9284.315613418048
244;3828.4807108934015;9294.158345828955
245;3828.8240332222244;9284.401747696273
246;3827.784538798606;9280.947968458817
247;3824.7074297905424;9283.602636458629
248;3823.7845439041885;9286.786715833496
249;3826.8497726490277;9283.133493912652
250;3826.3872108258493;9287.611979802337
251;3827.1101373935485;9283.736705671368
252;3823.003361210491;9286.630884425711
253;3823.9594379761083;9283.041110155393
254;3820.432356137795;9279.499850111835
255;3822.3727967311506;9287.001755605335
256;3820.8774493276474;9274.84378821731
257;3823.679815651861;9285.483231570466
258;3826.5053237393263;9288.191677707608
259;3823.3668178336716;9283.529511113959
260;3824.7794848720528;9290.212461428617
261;3825.6568793637507;9286.562627853937
262;3818.6822349594463;9281.139425214265
263;3823.3575784249515;9290.427261784545
264;3825.6964871317764;9286.274735518615
265;3822.7041116577216;9282.148966325662
266;3819.749524886402;9271.28528339646
267;3817.330399966173;9283.53931806618
268;3827.6253882385545;9287.713723550542
269;3822.230547012963;9281.504811383853
270;3824.024993798822;9284.089731525788
271;3822.1527786035595;9285.707393351408
272;3820.0488305448275;9272.975742188712
273;3822.206823935436;9280.668487885292
274;3819.394018017031;9272.161329889917
275;3816.968367169804;9280.908003599718
276;3824.2589937460625;9285.855014750276
277;3820.970808876875;9278.95818939185
278;3813.962541272912;9269.691921309084
279;3824.6669713508436;9275.773459075175
280;3823.825491436818;9283.506634256111
281;3822.3835489333023;9281.20565079129
282;3824.0380224530063;9279.79812520781
283;3817.3519420103225;9277.825386367336
284;3818.171801168606;9284.291561738102
285;3822.940035992061;9284.915095375762
286;3817.5170978514825;9272.407596103225
287;3817.7833234366394;9275.759439017525
288;3823.267455723225;9274.74280513684
289;3819.4787121752834;9275.748647399247
290;3820.519996830933;9276.698205671548
291;3824.1411017521855;9282.880313200907
292;3818.8511771134827;9283.537804559968
293;3818.3207161186847;9280.467602099827
294;3820.4173653491584;9284.900772315592
295;3819.959798716209;9283.11797732054
296;3818.261397312414;9277.68383960215
297;3816.8425124193705;9280.025630323218
298;3815.1938840109347;9275.892428446832
299;3818.2608986600967;9273.381273235127
300;3815.682809189971;9276.6459542976
301;3812.055728975157;9269.646460513772
302;3815.744912314342;9271.536879947409
303;3821.1904191404656;9277.496849463227
304;3819.079827866932;9278.975490614284
305;3822.4005255668035;9278.87533876647
306;3818.4989764389725;9268.89397076772
307;3820.8208135168998;9279.242771535959
308;3817.080615423631;9281.561502676737
309;3820.789825641259;9279.250042362633
310;3814.6311991146786;9272.730433913837
311;3816.2686450756496;9273.879767539618
312;3817.005744954106;9278.311701632761
313;3813.734810934689;9280.845001591815
314;3816.208913653997;9277.31410496727
315;3817.240822414535;9279.730402633651
316;3809.9834703985857;9273.394569276701
317;3819.1286490822094;9272.626406984577
318;3817.404667487868;9279.002055300085
319;3815.86438160939;9274.354985555603
320;3815.272095179701;9273.670390256004
321;3815.838449335704;9277.234023571391
322;3814.2391212661573;9271.846121561268
323;3815.09245720692;9270.054625419414
324;3813.457036049407;9272.986784598997
325;3813.62349185508;9273.906723788316
326;3811.7905940275023;9273.885459461606
327;3812.0578716691925;9272.85785540421
328;3811.1601878212578;9272.301606445408
329;3815.5289367207565;9281.425115226199
330;3814.765131613805;9270.246170183711
331;3813.046262296858;9272.350180444168
332;3815.1791659674204;9272.972435962265
333;3815.093691852995;9273.47775901915
334;3815.754174727961;9281.37090343671
335;3811.236908028327;9272.3973257937
336;3814.7950557138106;9276.865970378809
337;3812.1896504073134;9278.967510361159
338;3810.168466420616;9269.825458588602
339;3809.692782294212;9266.987507902648
340;3813.801907569334;9273.175949041946
341;3814.225954955567;9272.123031977515
342;3811.989465564156;9273.60884523879
343;3812.230657969872;9275.035133513355
344;3812.689511126046;9269.86687774537
345;3813.5023686799273;9275.80692101206
346;3811.0979655619567;9272.953680164755
347;3813.162081789213;9272.963478399357
348;3809.461296677919;9270.063440428412
349;3807.978468787715;9268.375478652431
350;3809.5381369204447;9268.744452273068
351;3808.1755856483132;9261.960407082077
352;3808.7667817063;9264.172433264377
353;3809.766927094913;9265.820370432148
354;3812.847777674607;9270.303735871326
355;3809.7469754390704;9272.727039583291
356;3808.9703898039916;9272.801510552841
357;3806.629275044322;9265.093588641414
358;3809.457649093415;9265.82492297977
359;3808.370098283635;9261.461682007182
360;3806.5449782232913;9269.754341330743
361;3807.069416456867;9267.537203948943
362;3807.355319738053;9267.999618507272
363;3810.4128250653293;9271.434306592688
364;3809.62209149005;9270.351932783675
365;3808.464403507355;9265.536354729078
366;3809.4553084305494;9263.55230405136
367;3810.4752526310212;9271.633664196404
368;3807.463072488141;9268.486533481591
369;3803.2387162115365;9266.418523947033
370;3803.472520567001;9265.448232676925
371;3802.414157443644;9261.826421630512
372;3806.211178912725;9270.542860604683
373;3803.895693951582;9264.400701104276
374;3806.19237040674;9269.071333840931
375;3806.6181625847375;9273.15629852119
376;3805.1455194200907;9271.399876366197
377;3804.929608533804;9267.197348985475
378;3804.60043132802;9261.954729700035
379;3804.0184604249525;9259.652714436923
380;3808.0511445455427;9266.852598969646
381;3804.3147270545273;9267.020717713069
382;3808.824094751558;9265.563732617393
383;3807.554479773397;9268.744395818881
384;3806.5148524910155;9264.59014222782
385;3807.826561451752;9269.843843878678
386;3809.6132551424494;9266.275294740208
387;3807.0888760810967;9266.083131253808
388;3807.516515601193;9268.24178627694
389;3809.6600206618064;9269.94582195562
390;3811.108468103523;9275.481064320971
391;3803.601314235805;9265.951487039742
392;3806.025379497191;9264.847986248828
393;3807.699805678817;9266.266880630646
394;3806.7265704675447;9263.99255795603
395;3804.7013381170177;9262.419500563721
396;3808.075354978321;9271.488799857547
397;3812.1294706604363;9276.238705199727
398;3805.9266773291283;9264.505129993133
399;3803.4557046937944;9265.172850505693
400;3807.053103259887;9271.780486045987
401;3807.7719852217656;9269.631520755298
402;3805.7523188214545;9267.96620510987
403;3807.518556194384;9271.895492143067
404;3802.200483916305;9267.45642632715
405;3804.562896561401;9266.383274463442
406;3805.3707646228063;9268.17297984371
407;3802.8118737504237;9260.800786894411
408;3799.781493885528;9266.629206734193
409;3804.0923949198786;9266.482505438604
410;3805.8113011680307;9266.830815837955
411;3803.949611510652;9269.866371500282
412;3803.9057109139376;9263.082264472885
413;3805.383535319388;9271.93941699302
414;3804.3376504502685;9265.24501572673
415;3803.1697703707778;9271.038863240701
416;3806.442608720764;9265.929042209382
417;3803.299463953663;9268.416916836763
418;3803.326757346748;9267.21617141366
419;3799.4928911696857;9261.984089344538
420;3801.256171572198;9262.254170437755
421;3805.737912878121;9266.701022080331
422;3803.6779687200014;9267.676074875068
423;3805.3925640977823;9270.190416008722
424;3802.128401348781;9257.604355569358
425;3804.1559166098427;9267.87374542505
426;3800.2151093880116;9259.83144031535
427;3802.5264940172933;9266.185977513007
428;3802.5878699346435;9261.84891307227
429;3803.136875898813;9266.551936055199
430;3800.7186888560727;9263.209347670148
431;3801.853616762709;9265.039950603872
432;3801.879237964659;9262.312285362805
433;3801.733166521737;9261.332971799216
434;3804.023715385639;9271.303997525083
435;3802.4222891265367;9267.606212842848
436;3807.439843257564;9271.766296495709
437;3806.0283690134447;9270.8305114632
438;3800.38486166275;9265.764183654048
439;3802.570566792146;9262.803823909891
440;3799.0123896882524;9258.663101989085
441;3804.5356273984203;9267.338196341165
442;3804.998317237462;9269.999958850967
443;3805.1643363588046;9264.15250724016
444;3805.6390641143043;9268.555429558728
445;3800.437052579351;9262.472950139663
446;3800.475263608212;9261.921026452377
447;3800.718488174113;9264.230741601026
448;3799.797518902122;9260.696823051883
449;3804.444040649615;9270.833406737853
450;3803.678432246415;9268.319821092762
451;3783.7845306135296;9231.036197395011
452;3783.937828777995;9230.90050450567
453;3783.2404778935424;9229.208483901815
454;3783.770020522742;9229.990643805884
455;3783.292976105258;9228.743554034958
456;3783.485944142485;9228.129948536856
457;3783.3693552117247;9227.553658303535
458;3783.447583993674;9228.569382593985
459;3782.4828978331734;9226.559028610169
460;3782.2677906474682;9225.700790942681
461;3782.731871989227;9225.998850911083
462;3782.559020315431;9225.827436015325
463;3782.427510826182;9225.798529357724
464;3781.723115190985;9224.997497563274
465;3781.9160427440834;9224.634371451757
466;3782.072811828033;9223.766082011552
467;3781.4071338656368;9223.027084519488
468;3781.5131961817506;9223.610088157051
469;3781.55702185168;9223.300151052481
470;3781.693909728642;9223.13380502524
471;3781.4992228924702;9222.70066806557
472;3781.7549602236686;9222.782473816713
473;3781.7729991352544;9222.451294586544
474;3781.794634048466;9222.504054742534
475;3781.848293116161;9222.634910861727
476;3781.8443562948155;9222.333504538972
477;3781.953845490631;9221.808435662644
478;3782.0721645662916;9221.721740087467
479;3782.343160470434;9221.090048786793
480;3782.097674192003;9220.908463578427
481;3782.0797338338857;9220.90641338514
482;3781.571769683222;9220.793425841213
483;3781.7505182193036;9220.562309186864
484;3781.4757685609366;9220.059151864041
485;3781.251169553023;9220.011690691676
486;3780.962874200954;9219.517109984754
487;3780.741646076757;9219.394410142168
488;3780.704840759352;9219.42968176155
489;3780.4100607728974;9219.335907568786
490;3780.270649869368;9218.995924358458
491;3780.1418241848246;9219.265104250942
492;3780.2870499963155;9218.869242078568
493;3780.1668630718436;9218.201133518727
494;3779.8788912906193;9218.415521394016
495;3779.909797790792;9218.07424441895
496;3779.704643879826;9218.032227599137
497;3779.7172196594597;9217.812919163001
498;3779.7387823604295;9217.573862060935
499;3779.60653100929;9217.209681448603
500;3779.4821377899743;9216.614704053996
