iteration;avg_executed;avg_worst;avg_average;avg_best
0;109.5769670661281;109.5769670661281;109.5769670661281;109.5769670661281
1;106.80317344248417;106.70328150364641;108.26440384442185;109.82552618519905
2;105.51328862691143;104.09334831855395;107.14179688528971;109.92913126728622
3;105.04851343684072;101.76685328800274;106.22813081829321;109.99650499780363
4;104.51479858204229;99.53999078602027;105.43822595874306;110.07418903842013
5;104.1733545274589;97.5561368588727;104.75248362501034;110.11017439661165
6;103.9141117426114;95.85951433127731;104.20406394397118;110.15012553778716
7;103.53813136090906;94.60081642254467;103.80340678973786;110.17942589292758
8;103.49609449257096;93.61384733213687;103.53088356932993;110.22308077246655
9;103.49381533800727;93.17827077877291;103.43053830345377;110.25050747907885
10;103.75380047846556;93.23438547682224;103.52627697643851;110.28147050734691
11;103.84124118875789;93.46034152247285;103.66512219349022;110.29999072447612
12;104.02427230597429;93.97674149171786;103.91792994043269;110.33751579976114
13;104.10607613913221;94.61606355674704;104.211293620672;110.35438768051338
14;104.26112346113707;95.60600934033444;104.53524500581067;110.36625410323896
15;104.63296238650588;96.43729911640294;104.88397862355815;110.3973594608066
16;104.84709547858951;97.43355695931976;105.21971551180117;110.41533430478124
17;104.98130885184962;98.0621207493088;105.51357116821505;110.44322879304026
18;105.09007454434534;98.74168278375684;105.81131469484178;110.4604720384043
19;105.22531416952948;99.41430670192699;106.08959592137008;110.46778626030081
20;105.4185675795553;100.0544112564021;106.34682068619912;110.47788208265709
21;105.72906978916025;100.80238278910254;106.61360767565408;110.49885036003126
22;105.55755450946029;101.04009463847777;106.75875108250659;110.51050031130325
23;105.92731642620821;101.72649944273574;106.98736188242154;110.53436630074526
24;105.78006740143239;101.88173044119357;107.11662113343755;110.54121800255209
25;105.84287157000381;102.1590993666382;107.25821903961253;110.55961634810544
26;105.91767524325715;102.45541453176547;107.39745863683815;110.57000571167761
27;106.034575305061;102.76283263609967;107.53081341578834;110.57989334305593
28;106.10136380082594;103.03591809958168;107.65409272834742;110.58767455523497
29;106.4471539465163;103.58279249906424;107.81703081700037;110.6021351348324
30;106.4706510021399;103.77546478388388;107.90686957597569;110.61159639804322
31;106.5198954574356;103.95251529911042;107.99945864999955;110.62987286308336
32;106.377959040426;103.94761840080257;108.05437432796751;110.64745721129
33;106.44206999262217;104.10017008143973;108.13120397081605;110.65773653271921
34;106.54738110069576;104.29465572604914;108.21471030798097;110.66871995410563
35;106.46074250178243;104.34103057963591;108.25917447769761;110.67355292365279
36;106.69626951344598;104.6322674249434;108.35237437409783;110.68311470828395
37;106.50340871377128;104.49418427795015;108.36474271851444;110.69188605400576
38;106.67935666288945;104.76133743592915;108.44772892622917;110.69229172510354
